t010100_1550	Laatokka kun sulaisi	skvr05107850
t020100_1040	Laulajan palkka	skvr01112750,skvr01112790,skvr01112860,skvr01113360,skvr01113370,skvr01115130,skvr01115390,skvr01115770,skvr01115860,skvr01116510,skvr01116540,skvr01116550,skvr01116570,skvr01116600,skvr01116610,skvr01116640,skvr01116780,skvr01116850,skvr01116900,skvr01116930,skvr01116970,skvr01117010,skvr01117020,skvr01117150,skvr01117190,skvr01117200,skvr01117230,skvr01117240,skvr01117321,skvr01117320,skvr01117330,skvr01117340,skvr01117350,skvr01117360,skvr01117380,skvr01117460,skvr01117470,skvr01117480,skvr01117490,skvr01117500,skvr01117510,skvr01117520,skvr01117530,skvr01117740,skvr01222150,skvr01222200,skvr01222320,skvr01222520,skvr01222600,skvr01222610,skvr01222620,skvr01222710,skvr01204980,skvr02111080,skvr02103950,skvr02103970,skvr02103980,skvr02103990,skvr02104700,skvr02104870,skvr02104880,skvr02104900,skvr02105160,skvr02105360,skvr02105460,skvr02105500,skvr03110340,skvr03110470,skvr03110480,skvr03102280,skvr03103880,skvr03104990,skvr03115920,skvr03120410,skvr03121460,skvr03127270,skvr03127460,skvr03134760,skvr03135340,skvr03139140,skvr03139150,skvr03140600,skvr03141640,skvr03142670,skvr04111490,skvr04104980,skvr04108940,skvr04115570,skvr04115830,skvr04123410,skvr05210120,skvr05216490,skvr05216560,skvr05200180,skvr05200190,skvr05203020,skvr05203410,skvr05200420,skvr05200450,skvr05200470,skvr05205210,skvr05200630,skvr05200640,skvr05200650,skvr05200670,skvr05200700,skvr05200710,skvr05200720,skvr05200730,skvr05200740,skvr05200760,skvr05200780,skvr05200790,skvr05200800,skvr05302590,skvr05302600,skvr05302610,skvr05302760,skvr05302770,skvr05302780,skvr05302790,skvr05302800,skvr05303380,skvr06103360,skvr06103480,skvr06105130,skvr06105140,skvr06105150,skvr06105160,skvr06105230,skvr06105360,skvr06105390,skvr06105470,skvr06105510,skvr06107590,skvr06148260,skvr07115110,skvr07115120,skvr07115130,skvr07115140,skvr07115150,skvr07115160,skvr07115170,skvr07115181,skvr07115180,skvr07115190,skvr07115200,skvr07115210,skvr07115220,skvr07115230,skvr07115430,skvr07115440,skvr07115451,skvr07115450,skvr07115460,skvr07115470,skvr07115480,skvr07116800,skvr07116810,skvr07116820,skvr07116830,skvr07116840,skvr07116850,skvr07116860,skvr07116880,skvr07116890,skvr07116900,skvr07116910,skvr07116920,skvr07116930,skvr07116940,skvr07116950,skvr07116960,skvr07116970,skvr07116980,skvr07116990,skvr07117000,skvr07117030,skvr07118740,skvr07126910,skvr07129650,skvr07129660,skvr07129680,skvr07129730,skvr07129960,skvr07129970,skvr07130270,skvr07130280,skvr07130300,skvr07130970,skvr07131620,skvr07131630,skvr07131640,skvr07131650,skvr07131660,skvr07131710,skvr07134630,skvr07135130,skvr07135140,skvr07135900,skvr07135920,skvr07138010,skvr07138020,skvr07138040,skvr07142450,skvr07248490,skvr10101720,skvr12103290,skvr12103300,skvr12103380,skvr12103600,skvr12103860,skvr13015530,skvr13015540,skvr13015550,skvr13015560,skvr13015570,skvr13015580,skvr13015590,skvr13015720,skvr13015810,skvr13015860,skvr13015950,skvr13015960,skvr13016080,skvr13016090,skvr13016100,skvr13016110,skvr13016120,skvr13016130,skvr13016140,skvr13016150,skvr13016160,skvr13016170,skvr13016180,skvr13016190,skvr13016200,skvr13016210,skvr13016220,skvr13016230,skvr13016420,skvr13016500,skvr13001670,skvr13017910,skvr13018080,skvr13018711,skvr13022020,skvr13039670,skvr13039670,skvr13045900,skvr13045910,skvr13078620,skvr13105610,skvr13105620,skvr13105780,skvr13105790,skvr13106000,skvr13106010
t020100_1050	Laulajan suuttuminen	skvr05201420,skvr13018250,skvr13018890,skvr13018980
t020100_1060	Laulajan väki väsyy	skvr01113070,skvr01115950,skvr01116500,skvr01222140,skvr05201060,skvr05216940,skvr05200380,skvr05200390,skvr05200400,skvr05200410,skvr05200420,skvr05200430,skvr05200440,skvr05205050,skvr05200580,skvr05302620,skvr05302800,skvr05302880,skvr06105470,skvr06105510,skvr07115100,skvr07116770,skvr07129820,skvr13015980,skvr13015990,skvr13016220,skvr13016590,skvr13018080,skvr13018400,skvr13018940,skvr13018990,skvr13019000,skvr13047280,skvr13048610
t020100_1070	Laulakaamme lasta kaksi kuin yhen emosen lapset	skvr01112990,skvr01120050,skvr02105020,skvr03102870,skvr03103780,skvr03103880,skvr04109240,skvr05201380,skvr05224220,skvr05200070,skvr05209590,skvr05302500,skvr07115590,skvr07115600,skvr07115610,skvr07115620,skvr07115630,skvr07116440,skvr13014660,skvr13016720,skvr13016730,skvr13016740,skvr13017200
t020100_1080	Laulamaan luotu	skvr01113750,skvr04109930,skvr05102840,skvr05201250,skvr05201371,skvr05201610,skvr05201620,skvr05202540,skvr05202860,skvr05200050,skvr07115660,skvr07116420,skvr13015910,skvr13016880,skvr13017300,skvr13017850,skvr13018530,skvr13018890,skvr13023790,skvr13028860,skvr13047360
t020100_1090	Laulaminen ja sankarit	skvr01113420,skvr01205160,skvr07108370,skvr07116610,skvr12103200
t020100_1100	Laulan ihmiset uneen - itkemään	skvr03110380,skvr03101160,skvr03102610,skvr03114280,skvr03114290,skvr03114540,skvr03134760,skvr03140160,skvr03141260,skvr04114430,skvr04122180,skvr05201680,skvr05223000,skvr05202500,skvr05202780,skvr05302570,skvr05300581,skvr05300580,skvr05308931,skvr05308930,skvr13015700,skvr13017730,skvr13018530,skvr13018620,skvr13018860,skvr13018930,skvr13105990,skvr13106160,skvr15111900
t020100_1110	Laulan iltani iloksi	skvr01112811,skvr01112812,skvr01204980,skvr01200730,skvr05200370,skvr06105180,skvr07118320,skvr07118440,skvr07120010,skvr07120040,skvr12103300,skvr13015390,skvr13015550,skvr13018320,skvr13018530
t020100_1120	Laulan laatuja sanoja	skvr03110130,skvr03101500,skvr03102460,skvr03115100,skvr03133950,skvr03137140,skvr03140020,skvr03140990,skvr03141200,skvr04117270,skvr15112690
t020100_1130	Laulan laiha poika	skvr01108490,skvr01112910,skvr01113050,skvr01113090,skvr01113381,skvr01113400,skvr01113410,skvr01118421,skvr01118420,skvr03108360,skvr04113340,skvr04114170,skvr04104040,skvr04100600,skvr04106840,skvr04107810,skvr04109930,skvr04109940,skvr04117240,skvr04117510,skvr04121560,skvr04121980,skvr04122510,skvr04131410,skvr04132020,skvr04135400,skvr09200230,skvr05201010,skvr05201250,skvr05201270,skvr05201290,skvr05201820,skvr05202750,skvr05202820,skvr05200040,skvr05200050,skvr05302880,skvr05302891,skvr05302890,skvr05302900,skvr05302910,skvr05302920,skvr05302931,skvr05302930,skvr05302940,skvr06165100,skvr07115240,skvr07115250,skvr07115260,skvr07115270,skvr07116580,skvr07116600,skvr07117100,skvr07135781,skvr07135780,skvr12178620,skvr13016560,skvr13016570,skvr13016580,skvr13016880,skvr13022020,skvr13023690,skvr13023790,skvr13006970,skvr13105671,skvr13105680,skvr13105710
t020100_1140	Laulan laitettava	skvr03101150,skvr03102950,skvr03114890,skvr03114940,skvr03115160,skvr03115470,skvr03117860,skvr03128230,skvr03128460,skvr03133840,skvr03136270,skvr03139110,skvr03140700,skvr04102480,skvr04107810,skvr04109020,skvr04117070,skvr05101850,skvr05201270,skvr05221780,skvr05200030,skvr07115260,skvr07119000,skvr13015520,skvr13017850,skvr13023690,skvr13023790,skvr15111230,skvr15113420
t020100_1150	Laulan langoissani	skvr05101850,skvr05208790,skvr05302440,skvr13016840,skvr13016850,skvr13016860,skvr13016930,skvr13045200
t020100_1160	Laulan laukun viilekkeitä	skvr01113030,skvr01223760,skvr06105230,skvr06105240,skvr07114820,skvr07115710,skvr07115720,skvr07116490,skvr07116510,skvr07116520,skvr07116960,skvr07126831,skvr10101550
t020100_1170	Laulan laulajan jälestä, ellen osaa	skvr05202010,skvr05223980,skvr05202780,skvr05303360,skvr13015510,skvr13016350,skvr13016560,skvr13016970,skvr13017480
t020100_1180	Laulan laulajat mokomat	skvr01218850,skvr01204100,skvr02100020,skvr03110300,skvr03110710,skvr03101560,skvr03101570,skvr03101590,skvr03114940,skvr03127270,skvr03128230,skvr03128450,skvr03137330,skvr04114430,skvr05201450,skvr05202390,skvr05202690,skvr05202740,skvr05200580,skvr05303200,skvr05303210,skvr06103480,skvr06105130,skvr06105200,skvr06105210,skvr06105290,skvr07115240,skvr13018230,skvr13001830,skvr13018610,skvr13018620,skvr13018630,skvr13018640,skvr13018860,skvr13029550,skvr13045890,skvr13104780,skvr13105690
t020100_1190	Laulan liki kotia	skvr03111370,skvr03102180,skvr03108720,skvr03100920,skvr03120920,skvr03127490,skvr03139820,skvr04110800,skvr04114900,skvr04109610,skvr04122170,skvr04126570,skvr05201711,skvr05201710,skvr05201721,skvr05201722,skvr05201720,skvr05201730,skvr05201740,skvr05201750,skvr05201760,skvr05201770,skvr05224200,skvr05224210,skvr05203240,skvr05203250,skvr05203500,skvr05208360,skvr05310971,skvr05310970,skvr05310980,skvr07117250,skvr13016570,skvr13016650,skvr13016660,skvr13016670,skvr13016680,skvr13016690,skvr13017240,skvr13077030,skvr13079860,skvr13079870,skvr13079880,skvr13079890,skvr13079900,skvr15111940,skvr15111950,skvr15111960
t020100_1200	Laulan meret mesiksi	skvr01118020,skvr01118030,skvr01118060,skvr03110330,skvr03110340,skvr03110350,skvr03110360,skvr03101390,skvr03120610,skvr03127530,skvr03129310,skvr03135960,skvr04110640,skvr04114430,skvr04102650,skvr04103320,skvr04115340,skvr04117580,skvr04122160,skvr04123470,skvr04129980,skvr04131370,skvr04131850,skvr09200230,skvr05210480,skvr05201380,skvr05201440,skvr05201470,skvr05201480,skvr05201500,skvr05201510,skvr05201530,skvr05201600,skvr05201610,skvr05201620,skvr05201630,skvr05201640,skvr05201650,skvr05201680,skvr05201700,skvr05202540,skvr05202790,skvr05202900,skvr05205090,skvr05303050,skvr05303061,skvr05303060,skvr05303070,skvr05303080,skvr05303581,skvr05303582,skvr05303580,skvr06103870,skvr06103880,skvr06105130,skvr06105150,skvr06105220,skvr06105250,skvr06105320,skvr06105420,skvr06105430,skvr06100840,skvr07115730,skvr07115740,skvr07115750,skvr07115760,skvr07116130,skvr07116140,skvr07135090,skvr10101550,skvr11100450,skvr13001390,skvr13015510,skvr13016390,skvr13001660,skvr13017600,skvr13017730,skvr13018400,skvr13018410,skvr13018420,skvr13018430,skvr13018440,skvr13018450,skvr13018460,skvr13018470,skvr13018480,skvr13018490,skvr13018500,skvr13018510,skvr13018520,skvr13018540,skvr13018560,skvr13018580,skvr13018780,skvr13018800,skvr13018870,skvr13018970,skvr13005380,skvr13008280,skvr13051450,skvr13070600,skvr13081000,skvr13105990,skvr13106070,skvr13106150,skvr13106160,skvr13124680,skvr15111900
t020100_1210	Laulan merolle metsän	skvr04111090,skvr04111100,skvr04101180,skvr04114430,skvr04101660,skvr04104810,skvr04104900,skvr04104990,skvr04117580,skvr04122170,skvr04122530,skvr04131350,skvr04131370,skvr04131850,skvr15108070
t020100_1220	Laulan mielellä hyvällä	skvr13016870
t020100_1230	Laulan miesten mieltä myöten	skvr05208790,skvr05310420,skvr05309420
t020100_1240	Laulan suruisen virren	skvr03102430,skvr03102440,skvr03104790,skvr03105240,skvr03105880,skvr03113940,skvr03114470,skvr03123630,skvr03128990,skvr03132480,skvr04113780,skvr04113790,skvr04107300,skvr04121440,skvr04122310,skvr04139610,skvr04140020
t020100_1250	Laulan virren viisahasti - en loukkaa	skvr04120290,skvr05310420,skvr05309420,skvr13047220
t020100_1260	Laulan yheksän yötä	skvr03110380,skvr03102610,skvr03114280,skvr03114290,skvr03114540,skvr03127270,skvr03134760,skvr03135780,skvr03141260,skvr04110850,skvr04111100,skvr04113790,skvr04114430,skvr04101660,skvr04105760,skvr04109840,skvr04116710,skvr04121830,skvr04122150,skvr04122160,skvr04122170,skvr04122190,skvr04122210,skvr04122400,skvr04123390,skvr04123470,skvr04125190,skvr04125520,skvr04125630,skvr04127160,skvr04131370,skvr04131720,skvr04131960,skvr04132860,skvr04134360,skvr04134770,skvr04139950,skvr04140460,skvr05210480,skvr05201290,skvr05201300,skvr05201380,skvr05201400,skvr05201420,skvr05201470,skvr05201480,skvr05201490,skvr05201530,skvr05201600,skvr05201610,skvr05201620,skvr05201630,skvr05201640,skvr05201660,skvr05201680,skvr05220390,skvr05202810,skvr05303010,skvr05303120,skvr05303130,skvr05303141,skvr05303140,skvr05303181,skvr05303180,skvr05303190,skvr05303450,skvr05303581,skvr05303580,skvr13010820,skvr13017340,skvr13018420,skvr13018530,skvr13018540,skvr13018550,skvr13018560,skvr13018570,skvr13018580,skvr13018590,skvr13018600,skvr13018720,skvr13018730,skvr13018870,skvr13018910,skvr13018930,skvr13003080,skvr13005380,skvr13106130,skvr13106140,skvr13106150,skvr13106160,skvr15111900,skvr15112070
t020100_1270	Laulanta runolla työnä - kukunta käellä	skvr01102730,skvr01113110,skvr01113120,skvr01113130,skvr01113260,skvr01113270,skvr01113290,skvr05311770,skvr05311780,skvr13017300
t020100_1280	Laulavat Lapinkin lapset	skvr01112730,skvr01112811,skvr01112810,skvr01112830,skvr01112900,skvr01112910,skvr01112970,skvr01113020,skvr01113030,skvr01206330,skvr05201790,skvr05201800,skvr05201810,skvr05202820,skvr05205400,skvr05200940,skvr05302850,skvr06102140,skvr06102150,skvr06102160,skvr06102170,skvr06105360,skvr06105440,skvr07115370,skvr07115380,skvr07115390,skvr07115400,skvr07115410,skvr07115420,skvr07115430,skvr07115510,skvr07116480,skvr11100150,skvr12103280,skvr12103320,skvr12103330,skvr12103360,skvr12103381,skvr12103382,skvr12108381,skvr12178620,skvr12181660,skvr13016920,skvr13016930,skvr13016940,skvr13016950,skvr13016960,skvr13016970,skvr13016980,skvr13016990,skvr13017000,skvr13017010,skvr13017020,skvr13017030,skvr13017040,skvr13017050,skvr13017060,skvr13017070,skvr13076740,skvr13076760,skvr13105710,skvr13105720,skvr13105730,skvr13105740,skvr13105750,skvr13105760,skvr13105770,skvr13124820,skvr15101050
t020100_1290	Laulelen lahoissa näissä	skvr02104110,skvr07115230,skvr07116340,skvr07116350,skvr07116360,skvr07116370,skvr07116380,skvr07116480,skvr07117210,skvr07134850,skvr07134860,skvr12178620
t020100_1300	Laulella pojan tulee	skvr04111950,skvr04113050,skvr04103860,skvr04108360,skvr04123700
t020100_1310	Lauloi ennen Lappalainen	skvr01100520,skvr01112740,skvr01112770,skvr01112830,skvr01112840,skvr01112930,skvr01118560,skvr01212460,skvr01222140,skvr01222730,skvr01200730,skvr01209170,skvr04105240,skvr04108250,skvr04108720,skvr06105120,skvr12103371,skvr12103370,skvr13030300,skvr15100990
t020100_1320	Lauloin ennen lapsempana	skvr01113380,skvr01113660,skvr02103960,skvr02103970,skvr02103980,skvr02103990,skvr02104000,skvr03103880,skvr03104990,skvr03115920,skvr03121460,skvr03123410,skvr03128310,skvr03134760,skvr03139790,skvr04107810,skvr04108940,skvr04115830,skvr04117700,skvr04123410,skvr04134430,skvr09200240,skvr05201020,skvr05212750,skvr05201630,skvr05201660,skvr05202010,skvr05223980,skvr05202880,skvr05200290,skvr05203090,skvr05203410,skvr05200450,skvr05200460,skvr05200470,skvr05200480,skvr05204930,skvr05200490,skvr05200500,skvr05200510,skvr05200520,skvr05200530,skvr05205750,skvr05205940,skvr05206160,skvr05200640,skvr05200710,skvr05200730,skvr05200790,skvr05208690,skvr05302830,skvr05303340,skvr05303351,skvr05303350,skvr05303360,skvr05304100,skvr07115181,skvr07115180,skvr07115210,skvr07115460,skvr07116540,skvr07116800,skvr07116810,skvr07116820,skvr07116880,skvr07116900,skvr07116910,skvr07116920,skvr07116930,skvr07117000,skvr07117150,skvr07117200,skvr13015790,skvr13015920,skvr13016020,skvr13016130,skvr13016140,skvr13016150,skvr13016160,skvr13016170,skvr13016180,skvr13016220,skvr13017080,skvr13017090,skvr13017100,skvr13017110,skvr13017120,skvr13017130,skvr13017140,skvr13017150,skvr13017160,skvr13017170,skvr13017180,skvr13017190,skvr13017580,skvr13017840,skvr13018080,skvr13022450,skvr13005990,skvr13000590,skvr13105780,skvr13105790,skvr15113340
t020100_1330	Lauloin Moskovan molemmin puolin	skvr05210940,skvr05201670,skvr05222990,skvr05312400,skvr05302510,skvr05303040,skvr13082690
t020100_1350	Lemmenlehti laulajalle, kullanlehti kuulijalle	skvr01115120,skvr01117450
t020100_1360	Lintu lauloi, lehti liekkui	skvr03111980,skvr03104600,skvr03114860,skvr03115210,skvr03115370,skvr03118450,skvr03129570,skvr03133620,skvr03134500,skvr03134510,skvr04146670,skvr05203060,skvr06166330,skvr07135030,skvr13016520,skvr13016530,skvr13025320,skvr13027160,skvr13053610,skvr13082740
t020100_1370	Luoja antanut laulun taidon	skvr07114810,skvr13015390,skvr15104240
t020100_1380	Luonto laulamaan tekisi	skvr06105470
t020100_1390	Löysin kukkaron kujalta	skvr03139530,skvr04127900,skvr07101750,skvr07115970,skvr07116500,skvr07116810,skvr07127690,skvr13093820,skvr15104090
t020201_0410	Lennäs, leivo, ikkunalle	skvr07123750,skvr13106640
t020201_0420	Liekö tetri tielle tehnyt	skvr01106860,skvr01113640,skvr03101440,skvr03101700,skvr03101710,skvr03101780,skvr03105810,skvr03108540,skvr03108560,skvr03114910,skvr03122940,skvr03124490,skvr03126590,skvr03127660,skvr03128480,skvr03129230,skvr03133930,skvr03137060,skvr03137900,skvr03138050,skvr04110210,skvr04101050,skvr04110780,skvr04106570,skvr04109210,skvr04116610,skvr04117240,skvr04121480,skvr04123630,skvr04125550,skvr04126230,skvr04135430,skvr09200230,skvr05212630,skvr05203890,skvr05205040,skvr05205050,skvr05205060,skvr05205070,skvr05205080,skvr05205090,skvr05205440,skvr05207440,skvr05209470,skvr05304251,skvr05304250,skvr05304790,skvr05307050,skvr07117630,skvr07118630,skvr07118640,skvr07118650,skvr07118660,skvr07118670,skvr07122010,skvr07132390,skvr13019640,skvr13019650,skvr13019660,skvr13032650,skvr13081020,skvr13084390,skvr13106870,skvr13106880,skvr15112390,skvr15104400
t020202_0340	Lähtään mustat muille maille	skvr02104270,skvr04101930,skvr05111960,skvr05111970,skvr05111980,skvr05113270,skvr05210710,skvr05220780,skvr05222890,skvr05226710,skvr05207150,skvr05207910,skvr05311310,skvr05311400,skvr07120090,skvr07121630,skvr07121640,skvr07123020,skvr07123940,skvr07126670,skvr13012260,skvr13021090,skvr13025570,skvr13025580,skvr13025590,skvr13025600,skvr13025620,skvr13025630,skvr13032490,skvr13039650,skvr13047240,skvr13081020
t020203_0420	Luoja ja Maaria korjasivat orvon kiveltä	skvr03101440,skvr03137060
t020203_0430	Luoja toittaa luodut lapset	skvr03108300,skvr03113260,skvr03122480,skvr03127780,skvr03138030,skvr04110320,skvr04110780,skvr04114580
t020203_0440	Luulin tuotavan emoa	skvr05215460,skvr05215480,skvr05224390,skvr05203920,skvr05203950,skvr05203970,skvr05203990,skvr05204690,skvr05204850,skvr05305151,skvr05305150,skvr05305160,skvr05309311,skvr05309310,skvr06105700,skvr13017930,skvr13020260,skvr13022060,skvr13022200,skvr13022210,skvr13022220,skvr13022240,skvr13022250,skvr13022260,skvr13022270,skvr13023170,skvr13063990,skvr13105220,skvr13106890,skvr13106900,skvr13106910,skvr13106920
t020204_0030	Lesken virsi	skvr03105020,skvr03114550,skvr04108820,skvr04109560,skvr04121400,skvr04121430,skvr04121470,skvr04121610,skvr04121760,skvr04124460,skvr04125720,skvr04133800,skvr04138140,skvr04141940,skvr04145870,skvr04145900,skvr05108900,skvr05204680,skvr05204690,skvr05204700,skvr05204930,skvr05206110,skvr05209610,skvr05305180,skvr13021480,skvr13027260,skvr13027730,skvr15113420
t020300_0250	Luulin aina annettavan	skvr10101610
t020300_0260	Luulin riihen riskavaksi - riski rintaluuni	skvr03101930,skvr03104630,skvr03107650,skvr03108900,skvr03109470,skvr03115350,skvr03118180,skvr03124010,skvr03125700,skvr03126150,skvr03127090,skvr03128000,skvr03129130,skvr03133930,skvr03134000,skvr03135990,skvr03136150,skvr03136680,skvr03137090,skvr03137600,skvr03140120,skvr04109870,skvr04121970,skvr04122090,skvr04123800,skvr04129960,skvr05111270,skvr05109640,skvr05201250,skvr05224350,skvr05203490,skvr05311000,skvr05305571,skvr05305570,skvr07114030,skvr07114140,skvr07114150,skvr07114170,skvr07114280,skvr07114310,skvr07114320,skvr13014170,skvr13014190,skvr13014200,skvr13014240,skvr13014280,skvr15112450,skvr15107940
t020400_0260	Lähen läpi miesten hulkan	skvr03110040,skvr03110050,skvr03110080,skvr03110090,skvr03110190,skvr03102610,skvr03108310,skvr03108830,skvr03117860,skvr03120710,skvr03121630,skvr03122310,skvr03123690,skvr03127650,skvr03128340,skvr03128460,skvr03129280,skvr03129720,skvr03133140,skvr03133840,skvr03135100,skvr03136030
t020500_0250	Läksin ison kotonta, en toista äitiä tavannut	skvr04111250
t020600_0310	Lampuri laulaa kullalleen	skvr10102710
t020600_0320	Lennä, lennä lintunen	skvr05212030,skvr06102490,skvr07111740,skvr13072200,skvr15104770
t020600_0330	Likistäisin lintustani	skvr13016480
t020700_0610	Lapin pojan laulu	skvr13029430
t020700_0620	Laulajaa miehekseen toivova	skvr03109240,skvr03120500,skvr03135170,skvr04136640,skvr05209491
t020700_0630	Laulan loksuttelen tytöistä	skvr13016630
t020700_0640	Lemmen saa tyttö liejumalla	skvr01114360
t020700_0650	Leskelle älkää menkö	skvr01114370,skvr03101540,skvr03103610,skvr03103620,skvr03103640,skvr03109150,skvr03109160,skvr03115540,skvr03115550,skvr03115560,skvr03117910,skvr03120760,skvr03121080,skvr03126280,skvr03126880,skvr03126890,skvr03128650,skvr03130330,skvr03132030,skvr03132430,skvr03132770,skvr03137190,skvr03138470,skvr04101510,skvr04105120,skvr04109390,skvr04109400,skvr04126540,skvr05224370,skvr05207310,skvr05207830,skvr05207840,skvr05207850,skvr05207860,skvr05207870,skvr05209160,skvr05305620,skvr05305630,skvr06105451,skvr06105450,skvr06105460,skvr07123850,skvr07124720,skvr07125720,skvr07125730,skvr07125741,skvr07125740,skvr07125750,skvr10120390,skvr13020410,skvr13025410,skvr13025420,skvr13025430,skvr13025440,skvr13025450,skvr13025460,skvr13025470,skvr13025480,skvr13025490,skvr13025500,skvr13025510,skvr13026760,skvr13107510,skvr15111420,skvr15111430,skvr15111440,skvr15111450,skvr15112350
t020700_0660	Likka läksi lehtoon	skvr13081740
t020700_0670	Luuletkos poika luttuhattu	skvr04102750,skvr05211400,skvr05211410,skvr05224310,skvr07125680
t020700_0680	Luulin nuorra naitavan	skvr04110420,skvr05201560,skvr05207880,skvr05207890,skvr05207900,skvr05208900,skvr05209000,skvr05300151,skvr07124320,skvr13025520,skvr13025530,skvr13025540,skvr13025550
t020801_0330	Lakki ei kiellä laulamasta	skvr03110150,skvr03110170,skvr03102930,skvr03114610,skvr03115450,skvr03121700,skvr03125310,skvr04110380,skvr04106080,skvr05210490,skvr05212790,skvr05202110,skvr05202180,skvr05303550,skvr13047200,skvr13105990,skvr15112190
t020801_0340	Lähellä on poies lähtö	skvr15101290
t020801_0350	Lähtemään on piiat luotu	skvr06106190,skvr07129120
t020801_0360	Lähtölaulu	skvr05215610,skvr06105840,skvr07110270,skvr07110280,skvr07110310,skvr07118800,skvr07118810,skvr07118820,skvr07119870,skvr07120100,skvr07120110,skvr07121630,skvr07121640,skvr07122880,skvr07129070,skvr07129090,skvr07129100,skvr07129110,skvr07129120,skvr07129130,skvr07129140,skvr07129150,skvr07129200,skvr07129210,skvr07129510,skvr13024480,skvr13108990
t020802_0410	Lintu vie viestin emolle	skvr03101050,skvr03110930,skvr03101410,skvr03101720,skvr03100370,skvr03107780,skvr03107800,skvr03108860,skvr03108880,skvr03109390,skvr03109400,skvr03118390,skvr03120730,skvr03121110,skvr03125980,skvr03129680,skvr03135970,skvr03136940,skvr03137780,skvr03138860,skvr04101070,skvr04101730,skvr04100240,skvr04100550,skvr04100780,skvr04109540,skvr04109550,skvr04116590,skvr04124590,skvr04126220,skvr04126660,skvr04136220,skvr04136840,skvr05105580,skvr05212000,skvr05212470,skvr05212770,skvr05224070,skvr05224120,skvr05203640,skvr05204000,skvr05206870,skvr05206880,skvr05206900,skvr05206920,skvr05206930,skvr05206960,skvr05206970,skvr05207050,skvr05207440,skvr05209190,skvr05301931,skvr05301930,skvr13012180,skvr13012981,skvr13024120,skvr13006200,skvr13006210,skvr13008790
t020802_0420	Luulin varsat valloillaan - kälykset, veljet tappelivat	skvr03115160
t020803_0290	Leskelle joutunut	skvr15112780
t020803_0300	Läksi mies voinalla vojuimah	skvr02114270
t020804_0140	Lehmä on multa leikit nuollut	skvr07119150,skvr07119580,skvr07120080
t020902_0190	Laiska miniä	skvr03102650
t020903_0370	Laulaja juomari	skvr13016710,skvr13081180
t020903_0380	Löin isoni, löin emoni	skvr03101210,skvr03105210,skvr03105810,skvr03105820,skvr03113200,skvr03113350,skvr03122270,skvr03133810,skvr03136410,skvr03137360,skvr04110820,skvr04102690,skvr04109250,skvr04117200,skvr04119650,skvr04125620,skvr05306361,skvr05306761,skvr05306760,skvr13104650,skvr15108440
t020903_0390	Luullaan minua lurjukseksi	skvr07113201,skvr07126910,skvr07127680,skvr07248490,skvr12135120,skvr12165720,skvr12167420,skvr12186850,skvr13029010
t021000_0180	Lehti puuhun, ruoho maahan - minä marras maan rakohon	skvr07144110,skvr15101120
t021000_0190	Liuvuin surman suun eteen	skvr04122680,skvr05104140,skvr05104170,skvr05104210,skvr05104220,skvr05107710,skvr05109650,skvr05205870,skvr05205880,skvr05206250,skvr05206290,skvr05304190,skvr05304360,skvr13014310,skvr13005780,skvr13005810,skvr13005850,skvr13005870,skvr13054200
t021000_0200	Luulin lumpehen pitävän	skvr02103560,skvr04108260,skvr04124030,skvr05113240,skvr05108621,skvr05108620,skvr05108650,skvr05108660,skvr05108690,skvr05217600,skvr05217770,skvr05219021,skvr05224140,skvr05206420,skvr05301620,skvr05301631,skvr05301630,skvr05307711,skvr05307710,skvr06111260,skvr06106610,skvr07106050,skvr07117630,skvr07122580,skvr07125220,skvr07227320,skvr12105830,skvr13011430,skvr13011500,skvr13011550,skvr13011580,skvr15101230,skvr15104480,skvr15105340
t030100_0320	Laivaa maalle vedettäessä	skvr13126300
t030100_0330	Leikkaamisen aloitus	skvr13078910,skvr13125900
t030100_0340	Leipojalle	skvr08144270,skvr08144280,skvr10120361
t030100_0350	Liinan valmistaminen	skvr13079910
t030100_0360	Lopen, lopen, loppusen	skvr02111920,skvr02111930,skvr02111940,skvr02111950,skvr02111960,skvr02111970,skvr02111980,skvr02111990,skvr02112000
t030100_0370	Lyhteen sitominen	skvr13078940
t030100_0380	Lypsylauluja	skvr09103170,skvr09103180,skvr09103190,skvr09103200,skvr12181840,skvr13079930,skvr13079940
t030200_0390	Lampaat suden suussa	skvr13077250
t030200_0400	Lampuri luikuri	skvr10102700,skvr10102710,skvr14102280,skvr14102290,skvr14102300
t030200_0410	Laula, lintu, kaunista kesää	skvr13077180
t030200_0420	Laulanpa mie lampahista	skvr01222740
t030200_0430	Laulu lapsille paimenesta	skvr06103200,skvr11100440
t030200_0440	Lehmiä ajaessa ja kotiin kutsuessa	skvr09104510,skvr06103200,skvr07132630,skvr08114050,skvr08114060,skvr12119090,skvr13077300,skvr13077310,skvr13077350,skvr13125150,skvr13125170,skvr14102150,skvr14102190,skvr14102200,skvr14102210,skvr14102220,skvr14102230
t030200_0450	Lehmät käyvät, kellot soivat	skvr13025200,skvr13077320,skvr13077330,skvr13077340,skvr13077350,skvr13077360,skvr13077370
t030200_0460	Lepo, lepo lehmäni, jopa löysin härkäni	skvr07131830,skvr07131840,skvr07131850,skvr13077390,skvr13125180,skvr13125190,skvr13125200,skvr14102320
