t020202_0010	Allit lauloivat lahella	skvr03118250,skvr05113480,skvr05201780,skvr07117130,skvr07117380,skvr07117390,skvr07117400,skvr07117410,skvr07117420,skvr07122020,skvr07122580,skvr07124310,skvr07144490,skvr07300130,skvr13017230,skvr13022860,skvr13005820,skvr13032970
t020203_0010	Armottomalle sydän kivestä	skvr07117560
t020203_0020	Armottoman elämä - kirjava kuin taivas	skvr04135150
t020300_0010	Akat kun poikia tekee, ne hovin kutsareiksi	skvr03109710,skvr03109730,skvr03115620,skvr03127680,skvr04106120,skvr04106130,skvr04116410,skvr05104660,skvr05211070,skvr05221150,skvr05221180,skvr05221190,skvr05221220,skvr05221230,skvr05221840,skvr05223800,skvr05311340,skvr05312080,skvr13045460,skvr13081390,skvr13081410,skvr13081420,skvr13081430,skvr13081440
t020400_0010	Akat saatanat sanovat	skvr03103800,skvr03100990,skvr03114910,skvr03140090,skvr04102850,skvr04103020,skvr04104960,skvr04106430,skvr04107560,skvr04108060,skvr04108360,skvr04108460,skvr04117530,skvr04133100,skvr04136650,skvr05210440,skvr05208570,skvr06105170,skvr07121690,skvr07121770,skvr07121930,skvr07121940,skvr07125400,skvr07125800,skvr07126700,skvr12103600
t020400_0020	Akat sanovat poikiensa pettäjäksi	skvr03110030,skvr03110040,skvr03110090,skvr03114900,skvr03114920,skvr03117870,skvr03128340,skvr03128770,skvr03134590,skvr03135110,skvr03135840,skvr03136740,skvr03139100,skvr04113050,skvr04102480,skvr04102880,skvr04109770,skvr04130840,skvr04131890,skvr04132740,skvr05201060,skvr05207150,skvr05207310,skvr05209250,skvr05209580,skvr05306290,skvr05306510,skvr05306551,skvr05306550,skvr06165110,skvr07122050,skvr07125310,skvr07125390,skvr13023610,skvr13023620,skvr13023790,skvr13041960,skvr13105490,skvr13107430,skvr15111220
t020400_0030	Ampuisin akat kylästä	skvr03115410,skvr03120240,skvr04102880,skvr04105140,skvr04109760,skvr04109770,skvr04116430,skvr04116740,skvr04117530,skvr04125470,skvr04130840,skvr05207160,skvr05207880,skvr06105170,skvr12103600,skvr13071140,skvr13107430,skvr15111220
t020500_0005	Aikanen manalle mennä	skvr07124260
t020600_0010	Ajat menevät armahia aatellessa	skvr05201670,skvr05200180,skvr05311810,skvr05312091,skvr05312090
t020600_0020	Armaan kulku	skvr03124240,skvr03126610,skvr04110550,skvr05210750,skvr06165390,skvr07123580,skvr07123930,skvr13030970,skvr13031670,skvr13047490,skvr13108030,skvr13108040
t020700_0010	Aika naida	skvr04104570,skvr04108200,skvr04115220,skvr05200180,skvr05311630,skvr13028300
