t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t020202_0410	Niin vierin kuin puu pinosta vieri	skvr03101910,skvr03108640,skvr03114850,skvr03120330,skvr03127540,skvr03138650,skvr04110810,skvr04104430,skvr04108140,skvr04121450,skvr04121470,skvr04132190,skvr09200280,skvr05210240,skvr05210960,skvr05213770,skvr05215660,skvr05221590,skvr05203290,skvr05203580,skvr05203590,skvr05204310,skvr05204330,skvr05204570,skvr05204820,skvr05204830,skvr05205170,skvr05307460,skvr06130320,skvr07117710,skvr07117750,skvr07117760,skvr07122530,skvr13020950,skvr13021450,skvr13022610,skvr13022620,skvr13022630,skvr13022640,skvr13022650,skvr13022660,skvr13022670,skvr13036530,skvr13036540,skvr13036560,skvr13056740
t020203_0490	Niin olen ison isolla	skvr03102190,skvr03100670,skvr03108760,skvr03113720,skvr03114550,skvr03114850,skvr03114980,skvr03114990,skvr03115020,skvr03123170,skvr03137660,skvr03140430,skvr04124650,skvr05211560,skvr15110980,skvr15113220,skvr15113340
t020203_0500	Niin on miulla kesäpäivät kuin lehmällä talvipäivät	skvr03101270,skvr03115020,skvr03140430
t020400_0380	Naisten nauru, piian pilkka	skvr01112810,skvr01113220,skvr01114660,skvr01118060,skvr02103920,skvr02104560,skvr04116710,skvr05209290,skvr05306390,skvr05306571,skvr05306570,skvr06104510,skvr07115490,skvr07115510,skvr07115520,skvr07115530,skvr07115540,skvr07115550,skvr07115560,skvr07232280,skvr12103580,skvr13015400,skvr13018270,skvr13019900,skvr13028610,skvr15101030
t020500_0290	Näkisi nämäkin silmät emosen etempeäki	skvr01114790
t020600_0430	Neitoa ikävöivä	skvr13031320
t020600_0440	Nuori mies hyvästi halsi	skvr13031330
t020700_0950	Nai punaposkinen tyttö	skvr05223030,skvr05209860,skvr05209880,skvr05209890,skvr05209900,skvr13032080,skvr13032090,skvr13032230,skvr13032250,skvr13034030,skvr13036230
t020700_0960	Naimisiin toivo	skvr13031290
t020700_0970	Nainko vai ostanko hevosen	skvr05210580,skvr05210630,skvr13029050,skvr13029070,skvr13029630,skvr13030060,skvr13036220
t020700_0980	Naivat nilkit, naivat nalkit	skvr13030060,skvr13067280
