t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t040503_0320	Neidolla karvainen kattila	skvr13042720,skvr13046200,skvr13046450
t040503_0330	Neito kaunis kuin kukkanen kesällä	skvr13035580,skvr13045480
t040503_0340	Neito medellä pesty	skvr13039030
t040503_0350	Neito putrolta punainen	skvr04107110,skvr05215120,skvr05215760
t040503_0360	Nyt tanssijan tapasit	skvr05215200
t040504_0090	Nyt luonasi lohi kutee	skvr05214410,skvr13037020,skvr13039800,skvr13041190
t040504_0100	Nyt on hurskas hurstillasi	skvr13041990
t040505_0360	Narri on naitettu salaa	skvr05214170
t040505_0370	Näytti peura perseensä	skvr07130480,skvr13046180,skvr13046310,skvr13046420
t040505_0380	Nenä on neljä arsinaa	skvr04107090,skvr04130810
t040506_0260	Nyt on riimu rinnallasi, viirusilmä vieressäsi	skvr04116700,skvr05215850,skvr05307721,skvr05307720,skvr05307800,skvr13036520,skvr13038530,skvr13038950,skvr13039010,skvr13039400,skvr13039500,skvr13039510
t040506_0270	Nyt tulee hupa hutulle	skvr05214910,skvr05214970
t040506_0280	Nyt täytyy ryysyihin ruveta	skvr13039680
t040507_0090	Neidon kerskaus, ettei mene joka pojalle	skvr04100280,skvr04103300,skvr05213470,skvr05213900,skvr05213931,skvr05213980,skvr05214020,skvr05215570,skvr05308081,skvr05308600,skvr13034250,skvr13034260
t040508_0220	Nimismies vie talon veloista	skvr13038770
t040508_0230	Näimme sysikuorman syrjällään	skvr13041220
t040508_0240	Nälkäniemi näkyy	skvr02105220,skvr05308730,skvr13045470
t040510_0340	Nyt tuotiin kulin kutoja	skvr05308711,skvr05308710,skvr05308751,skvr05308750,skvr13039380,skvr13039730,skvr13039740,skvr13039750,skvr13039760,skvr13039770
t040513_0190	Nuodemiehet tekevät velliä	skvr13045880
t040514_0170	Niin on kaaso kengitetty kuin hevonen raudoitettu	skvr03100250,skvr05216420,skvr05216430,skvr05309190,skvr05309210,skvr07130370,skvr07130380
t040514_0180	Nokinokka kaase	skvr10101730
t040514_0190	Nouse kaaso kiukaalle	skvr04107170,skvr04141930,skvr04145920,skvr05216440,skvr05309200,skvr06107500,skvr06107520,skvr07129710,skvr07130730,skvr07131500,skvr13040100,skvr13041600,skvr13045960,skvr13046010,skvr13046080,skvr13046110,skvr13046120,skvr13046140,skvr13046170,skvr13046360,skvr13046370,skvr13046410,skvr13046460
t040601_0050	Nuoteet pois lähtiessään	skvr13045870
t040701_0180	Naimaonnen jättäminen taloon*	skvr06107950
t050100_2990	Niin sano suutarpojat - lähdemme häihin	skvr01119351,skvr01119352,skvr01119350
t050100_3000	Nipsun napsun	skvr14117290
t050100_3010	Numeroloruja	skvr01118790,skvr01119630,skvr01119880,skvr01223450,skvr02112850,skvr02112860,skvr02112920,skvr02112930,skvr02112940,skvr02112950,skvr02112970,skvr02112980,skvr02112990,skvr02113000,skvr02113010,skvr02113320,skvr03137980,skvr04114250,skvr04138820,skvr09128080,skvr09203140,skvr09203560,skvr06119910,skvr06119920,skvr06119930,skvr06119940,skvr06119950,skvr06119960,skvr06119970,skvr06119980,skvr06119990,skvr06121450,skvr06121460,skvr06121470,skvr06121480,skvr06121490,skvr06169480,skvr07138920,skvr07140870,skvr07140930,skvr07146240,skvr07146251,skvr07146250,skvr07300240,skvr08139670,skvr08139680,skvr08139690,skvr08139700,skvr08139710,skvr08139720,skvr08150100,skvr08150110,skvr10116220,skvr10116230,skvr10116240,skvr10116250,skvr10116260,skvr10116270,skvr10116280,skvr10116291,skvr10116290,skvr10116300,skvr10116310,skvr10116320,skvr11126120,skvr11126130,skvr11126140,skvr11102980,skvr11102990,skvr11103000,skvr11103880,skvr11104600,skvr11104780,skvr11104790,skvr12111780,skvr12111790,skvr12111800,skvr12111810,skvr12111820,skvr12111830,skvr12111840,skvr12111851,skvr12111850,skvr12111860,skvr12111870,skvr12111880,skvr12111890,skvr12114150,skvr12114160,skvr12114170,skvr12114180,skvr12114190,skvr12114200,skvr12114210,skvr12114220,skvr12114230,skvr12114240,skvr12114250,skvr12114260,skvr12114270,skvr12114280,skvr12114290,skvr12114300,skvr12114311,skvr12114310,skvr12114320,skvr12114330,skvr12114340,skvr12114350,skvr12114360,skvr12114370,skvr12114380,skvr12114390,skvr12114400,skvr12114410,skvr12114420,skvr12114430,skvr12114440,skvr12114450,skvr12114460,skvr12114470,skvr12114480,skvr12114490,skvr12114500,skvr12114510,skvr12114520,skvr12114530,skvr12114540,skvr12114550,skvr12114560,skvr12114570,skvr12114580,skvr12114590,skvr12114600,skvr12114610,skvr12114620,skvr12114630,skvr12114640,skvr12114650,skvr12114660,skvr12114670,skvr12114680,skvr12114690,skvr12114700,skvr12114710,skvr12114720,skvr12114730,skvr12114740,skvr12114750,skvr12114760,skvr12114770,skvr12114780,skvr12114790,skvr12114800,skvr12114810,skvr12114820,skvr12114830,skvr12114840,skvr12114850,skvr12114860,skvr12114870,skvr12114880,skvr12114890,skvr12114900,skvr12114910,skvr12114920,skvr12114930,skvr12114940,skvr12114950,skvr12114960,skvr12114970,skvr12114980,skvr12114990,skvr12115000,skvr12115010,skvr12115020,skvr12115030,skvr12115040,skvr12115050,skvr12115060,skvr12115070,skvr12115080,skvr12115090,skvr12115100,skvr12115110,skvr12115120,skvr12115130,skvr12115140,skvr12115150,skvr12115160,skvr12115170,skvr12115180,skvr12115190,skvr12115200,skvr12115210,skvr12115220,skvr12115230,skvr12115240,skvr12115250,skvr12115260,skvr12115270,skvr12115280,skvr12115290,skvr12115300,skvr12115310,skvr12115320,skvr12115330,skvr12115340,skvr12115350,skvr12115360,skvr12115370,skvr12115380,skvr12115390,skvr12115400,skvr12115410,skvr12115420,skvr12115430,skvr12115440,skvr12115450,skvr12115460,skvr12115470,skvr12115480,skvr12115490,skvr12115500,skvr12115510,skvr12115520,skvr12116460,skvr12134960,skvr12134970,skvr12134980,skvr12182590,skvr13068410,skvr13068430,skvr13068450,skvr13068460,skvr13068480,skvr13068490,skvr13068500,skvr13068510,skvr13068520,skvr13068530,skvr13068600,skvr13068610,skvr13068620,skvr13068630,skvr13068650,skvr13068660,skvr13069610,skvr13069620,skvr13121290,skvr13122290,skvr13122350,skvr13122360,skvr14117930,skvr14117940,skvr14117950,skvr14117960,skvr14117970,skvr14117980,skvr14117990,skvr14118000,skvr14118010,skvr14118020,skvr14118030,skvr14118040,skvr14118050,skvr14118060,skvr14118070,skvr14118080,skvr14118090,skvr14118100,skvr14118110,skvr14118520,skvr14118530
t050100_3020	Nuora hyppäs pässi katkes	skvr07144720
t050100_3030	Nurmen juuri, suutarin perä	skvr13067380
t050100_3040	Nyt on kauppa kattiloilla	skvr05310110
t050100_3050	Näin koira metsään menee	skvr05310030,skvr06116880,skvr06116890,skvr06116900,skvr06117080,skvr06168620,skvr07138680,skvr08137500,skvr08137510,skvr08137520,skvr08137530,skvr08137540,skvr08137550,skvr08137560,skvr08137570,skvr08137580,skvr08137590,skvr08137600,skvr08137610,skvr08137620,skvr08137630,skvr08137640,skvr08137650,skvr08137660,skvr08137670,skvr08137680,skvr08137690,skvr08137700,skvr08137710,skvr08137720,skvr10111830,skvr10111840,skvr10111850,skvr10111860,skvr10111870,skvr10111880,skvr10111890,skvr10111900,skvr10111910,skvr10111920,skvr10111930,skvr10111940,skvr11126220,skvr11126230,skvr11103160,skvr11103170,skvr11103180,skvr11103190,skvr11103200,skvr11103210,skvr11103220,skvr11103230,skvr11103240,skvr13060520,skvr13117760,skvr13117770,skvr13117780,skvr13117790,skvr13117800,skvr13117810,skvr13117820,skvr13117830,skvr13117840,skvr13117850,skvr13117860,skvr14111030,skvr14111330,skvr14111340,skvr14111350,skvr14111360,skvr14111370,skvr14111380,skvr14111390,skvr14111400,skvr14111410,skvr14111420,skvr14111430,skvr14111440,skvr14111450,skvr14111460,skvr14111470
t050100_3060	Näin minun eukkoni ennen lauloi	skvr09203040,skvr06123350,skvr06123360,skvr06123370,skvr06170560,skvr06170570,skvr07127940,skvr07138750,skvr07145870,skvr08127490,skvr10118930,skvr11103820,skvr11103830,skvr12102360,skvr12102400,skvr12102410,skvr12102430,skvr12102440,skvr12102470,skvr12102480,skvr12102490,skvr12102500,skvr12102510,skvr12102520,skvr12102530,skvr12102540,skvr12102550,skvr12102560,skvr12102570,skvr13105830
t050300_1370	Nasto	skvr01119740
t050300_1380	Nateli	skvr13070510
t050300_1390	Natto	skvr02112240
t050300_1400	Nikkari	skvr06122900
t050300_1410	Nikki	skvr06126660
t050300_1420	Niku	skvr12134720
t050300_1430	Nisoi	skvr14119330
t050300_1440	Nummelin	skvr08143340,skvr08143350,skvr08143360,skvr08143370,skvr08143380,skvr08143390,skvr08143400,skvr08143410,skvr08143420,skvr08143430,skvr08143440,skvr08143450,skvr08143460,skvr08143470,skvr08143480,skvr08143490,skvr08143500,skvr08143510,skvr08143520,skvr08143530,skvr08143540,skvr08143550,skvr08143560,skvr08143570,skvr08143580,skvr08143590,skvr08143600,skvr08143610,skvr08143620,skvr08143630,skvr08143640,skvr08143650,skvr08143660,skvr08143670,skvr08143680,skvr08143690,skvr08143700,skvr08143710,skvr08143720,skvr08143730,skvr08143740,skvr08143750,skvr08143760,skvr08143770,skvr08143780,skvr08143790,skvr08143800,skvr08151440,skvr08151450,skvr08151460,skvr08151470,skvr08151480,skvr08151490,skvr08151500,skvr08151510,skvr08151520,skvr08151530,skvr08151540,skvr08151550,skvr08151560,skvr12133730
t050300_1450	Nuuti	skvr12134730
t050400_1380	Nika ninkeri	skvr12129000
t050400_1390	Niko niemeen, toinen tuomeen	skvr12129010
t050400_1400	Nippa nappa tielentippa	skvr06124580
t050400_1410	Nippis nappis naulastuoli	skvr05219330,skvr06124380,skvr06124390,skvr06124400,skvr06124410,skvr06124440,skvr06124450,skvr06124460,skvr06124470,skvr06124480,skvr06124500,skvr06124530,skvr06124540,skvr06124550,skvr06124600,skvr06124620,skvr06124630,skvr06124640,skvr06170840,skvr06170850,skvr06170860,skvr07141600,skvr07141610,skvr07141620,skvr07141630,skvr07141640,skvr08140530,skvr08140540,skvr08140550,skvr08140560,skvr08140570,skvr08150300,skvr08150310,skvr08150320,skvr08150330,skvr08150340,skvr08150350,skvr08150400,skvr08150410,skvr08150420,skvr08150430,skvr08150440,skvr08150450,skvr08150460,skvr08150470,skvr08150480,skvr08150500,skvr08150520,skvr08150530,skvr08150540,skvr08150550,skvr08150560,skvr08150570,skvr08150590,skvr10117120,skvr10117130,skvr10117150,skvr10117161,skvr10117160,skvr10117170,skvr10117180,skvr10117200,skvr10117210,skvr10117220,skvr10117240,skvr10117250,skvr10117260,skvr10117270,skvr10117280,skvr10117290,skvr10117300,skvr10117310,skvr10117330,skvr10117340,skvr10117350,skvr10117360,skvr11126570,skvr11104040,skvr11104050,skvr11104060,skvr11104070,skvr11104080,skvr11104090,skvr11104100,skvr11104110,skvr11104120,skvr11104130,skvr11104140,skvr11104150,skvr11104160,skvr11104170,skvr12121040,skvr12121050,skvr12121060,skvr12121070,skvr12121080,skvr12121090,skvr12121100,skvr12121110,skvr12121120,skvr12121130,skvr12121140,skvr12121150,skvr12121160,skvr12121170,skvr12121180,skvr12121190,skvr12121200,skvr12121210,skvr12121220,skvr12121230,skvr12121240,skvr12121250,skvr12121260,skvr12121270,skvr12121280,skvr12121290,skvr12121300,skvr12121310,skvr12121320,skvr12121330,skvr12121340,skvr12121350,skvr12121360,skvr12121370,skvr12121380,skvr12121390,skvr12121400,skvr12121410,skvr12121420,skvr12121430,skvr12121440,skvr12121450,skvr12121460,skvr12121470,skvr12121480,skvr12121490,skvr12121500,skvr12121510,skvr12121520,skvr12182940,skvr12182950,skvr13076460,skvr13076470,skvr13076480,skvr13076500,skvr13076510
t050400_1420	Niu, nau, nikotinta!	skvr07141650
t050400_1430	Nyppylä, näppylä	skvr07141660
t050400_1440	Nyt me lapset keskenämme - arpaa heitämme	skvr07141670
t050500_0520	Nauriisilla	skvr09203870,skvr09203880,skvr09203890,skvr06124670,skvr06124680,skvr06124690,skvr06124700,skvr06124710,skvr06124720,skvr06124730,skvr06124740,skvr06124750,skvr06124760,skvr06124770,skvr06124780,skvr06124790,skvr06124800,skvr06124810,skvr06124820,skvr06124830,skvr06124840,skvr06124850,skvr06124860,skvr06124870,skvr06124880,skvr06124890,skvr06124900,skvr06124910,skvr06124920,skvr06124930,skvr06124940,skvr06124950,skvr06124960,skvr06124970,skvr06124980,skvr06124990,skvr06125000,skvr06125010,skvr06125020,skvr06125030,skvr06125040,skvr06170870,skvr06170880,skvr07143140,skvr07143150,skvr07143160,skvr07143170,skvr07143180,skvr12120140,skvr12120150,skvr12120160,skvr12120170,skvr12120180,skvr12120190,skvr12120200,skvr12120210,skvr12120220,skvr12120230,skvr12120240,skvr12120250,skvr12120260,skvr12120270,skvr12120280,skvr12120290,skvr12120300,skvr12120310,skvr12120320,skvr12120330,skvr12120340,skvr12120350,skvr12120360,skvr12120370,skvr12120380,skvr12120390,skvr12120400,skvr12120410,skvr12120420,skvr12120430,skvr12120440,skvr12120450,skvr12120460,skvr12120470,skvr12120480,skvr12120490,skvr12120500,skvr12120510,skvr12120520,skvr12120530,skvr12120540,skvr12120550,skvr12120560,skvr12120570,skvr12120580,skvr12120590,skvr12120600,skvr12120610,skvr12120620,skvr12120630,skvr12120640,skvr12120650,skvr12120660,skvr12120670,skvr12120680,skvr12120690,skvr12120700,skvr12120710,skvr12120720,skvr12120730,skvr12120740,skvr12120750,skvr12120760,skvr12120770,skvr12120780,skvr12120790,skvr12120800,skvr12120810,skvr12120820,skvr12120830,skvr12120840,skvr12120850,skvr12120860,skvr12120870,skvr12120880,skvr12120890,skvr12120900,skvr12120910,skvr12161210,skvr13074480,skvr13074490,skvr13074500,skvr13074510,skvr13074520,skvr13074530,skvr13074540,skvr13074550,skvr13074560,skvr13074570,skvr13074580,skvr13074590,skvr13074600,skvr13074610,skvr13074620,skvr13074630,skvr13074640,skvr13074650,skvr13074660,skvr13074670,skvr13074680,skvr13074690,skvr13074700,skvr13074710,skvr13074720,skvr13074730,skvr13074740,skvr13074750,skvr13074760,skvr13074770,skvr13074780,skvr13074790,skvr13074800,skvr13074810,skvr13074820,skvr13074830,skvr13074840,skvr13074850,skvr13074860,skvr13074870,skvr13074880,skvr13074890,skvr13074900,skvr13074910,skvr13074920,skvr13074930,skvr13074940,skvr13074950,skvr13074960,skvr13074970,skvr13074980,skvr13074990,skvr13075000,skvr13075010,skvr13075020,skvr13075030,skvr13075040,skvr13075050,skvr13075060,skvr13075070,skvr13075080,skvr13075090,skvr13075100,skvr13075110,skvr13075120,skvr13075130,skvr13124550,skvr13124560,skvr13124570,skvr13124580,skvr13124590,skvr14120600,skvr14120610,skvr14120620,skvr14120630,skvr14120640,skvr14120650,skvr14120660
t050500_0530	Navettakolkka	skvr12120920
t050500_0540	Nykkää	skvr10117370,skvr10117380,skvr10117390
t050500_0550	Näkkisillä	skvr09203900,skvr06125050
t060100_0090	Näkymättömäksi pääseminen	skvr06163630,skvr10120530,skvr10120540
t060100_0100	Noidan vala	skvr06129700,skvr07200470
t060100_0110	Noidannuoli	skvr09300081,skvr06130460,skvr10153350,skvr10153360,skvr10153370
t060100_0120	Noitien uhri	skvr10120840
t060300_0180	Nuorikon itkiessä vainajaa liika	skvr13084330
t060500_1380	Nainen hedelmälliseksi	skvr09315100,skvr10149580,skvr10149590
t060500_1390	Nainen pilataan hedelmättömäksi	skvr02110830,skvr07249300
t060500_1400	Naisen sisuskipu	skvr12158720
t060500_1410	Naisen voimattomuus	skvr02109300
t060500_1420	Nari	skvr03143400,skvr03143410,skvr04144440,skvr09303350,skvr09303360,skvr09303370,skvr09303380,skvr09303390,skvr09303401,skvr09303401,skvr09303400,skvr09303410,skvr09303420,skvr09303430,skvr09303440,skvr09303450,skvr09303460,skvr09303470,skvr09303480,skvr09303490,skvr09303500,skvr09303510,skvr09303520,skvr09303530,skvr09303540,skvr09303550,skvr09303560,skvr09303570,skvr09303580,skvr09303590,skvr09303600,skvr09303610,skvr09303620,skvr09303630,skvr09303640,skvr09303650,skvr09303660,skvr09303670,skvr09303680,skvr09303691,skvr09303691,skvr09303692,skvr09303692,skvr09303690,skvr09303700,skvr09303710,skvr09303720,skvr09303730,skvr09303740,skvr09303750,skvr09303760,skvr09307540,skvr09404490,skvr09404500,skvr09404510,skvr09404520,skvr09404530,skvr09404541,skvr09404541,skvr09404540,skvr09404550,skvr09404560,skvr09404570,skvr09404580,skvr09404590,skvr09404600,skvr09404610,skvr09404620,skvr09404630,skvr06146000,skvr06173512,skvr08101700,skvr08101710,skvr08101720,skvr08101730,skvr08101740,skvr08101750,skvr08101760,skvr08101770,skvr08101780,skvr08101790,skvr08101800,skvr08101810,skvr08101820,skvr08101830,skvr08101840,skvr08101850,skvr08101860,skvr08101870,skvr08101880,skvr08101890,skvr08101900,skvr08101910,skvr08101920,skvr08101930,skvr08101940,skvr08101950,skvr08101960,skvr08101970,skvr08101980,skvr08101990,skvr08102000,skvr08102010,skvr08102020,skvr08102030,skvr08102040,skvr08102050,skvr08102060,skvr08102070,skvr08102080,skvr08102090,skvr08102100,skvr08102110,skvr08102120,skvr08102130,skvr08102140,skvr08144810,skvr08144820,skvr08144830,skvr08144840,skvr08144850,skvr10134850,skvr10134860,skvr10134870,skvr10134880,skvr10134890,skvr10134900,skvr10134910,skvr10134920,skvr10134930,skvr10134940,skvr10134950,skvr10134960,skvr10134970,skvr10134980,skvr10134990,skvr10135000,skvr10135010,skvr10135020,skvr10135030,skvr10135040,skvr10135050,skvr10135060,skvr10135070,skvr10135080,skvr10135090,skvr10135100,skvr10135110,skvr10135120,skvr10135130,skvr10135140,skvr10135150,skvr10135160,skvr10135170,skvr10135180,skvr10135190,skvr10135200,skvr10135210,skvr10135220,skvr10135230,skvr10135240,skvr10135250,skvr10135260,skvr10135270,skvr10135280,skvr10135290,skvr10135300,skvr10135310,skvr10135320,skvr10135330,skvr10135340,skvr10135350,skvr10135360,skvr10135370,skvr10135380,skvr10135390,skvr10135400,skvr10135410,skvr10135420,skvr10135440,skvr10135450,skvr10135460,skvr10135470,skvr10135480,skvr10135490,skvr10135500,skvr10135510,skvr10135520,skvr10135530,skvr10135540,skvr10135550,skvr10135560,skvr10135570,skvr10135580,skvr10135590,skvr10135600,skvr10135610,skvr10135620,skvr10135630,skvr10135640,skvr10135650,skvr10135660,skvr10135670,skvr10135680,skvr10135690,skvr10135700,skvr10135710,skvr10135720,skvr10135730,skvr10135740,skvr10135750,skvr10135760,skvr10135770,skvr10135780,skvr10135790,skvr10135800,skvr10135810,skvr10135820,skvr10154770,skvr10154780,skvr10154790,skvr10154800,skvr10154810,skvr10154820,skvr10154830,skvr10154840,skvr11108950,skvr11108960,skvr11108970,skvr11108980,skvr11108990,skvr11109000,skvr11109010,skvr11109020,skvr11109030,skvr11109040,skvr11109050,skvr11109060,skvr11109070,skvr11109080,skvr11109090,skvr11109100,skvr11109110,skvr11109120,skvr11109130,skvr11109140,skvr11109150,skvr11109160,skvr11109170,skvr11109180,skvr13092540,skvr13092550,skvr13092560,skvr13092570,skvr13092580,skvr13092590,skvr13127540,skvr13129720,skvr13129730,skvr13129740,skvr14123570,skvr14123580,skvr14123590,skvr14123600,skvr14123610,skvr14123620,skvr14123630,skvr14123640,skvr14123650,skvr14123660,skvr14123670,skvr14123680,skvr14123690,skvr14123700,skvr14123710,skvr14123720,skvr14123730
t060500_1430	Navetasta tarttuu	skvr02113880
t060500_1440	Nenän vuodossa	skvr06142970
t060500_1450	Neulan nieleminen	skvr09407570
t060500_1460	Nihti	skvr07225120
t060500_1470	Nikka	skvr01224350,skvr01224360,skvr01207600,skvr01207610,skvr01207620,skvr03145160,skvr03145170,skvr03145180,skvr04144430,skvr09303770,skvr09303780,skvr09303790,skvr09303800,skvr09303810,skvr09303820,skvr09303830,skvr09303840,skvr09303850,skvr09303860,skvr09303870,skvr09303880,skvr09303890,skvr09303900,skvr09303910,skvr09303920,skvr09303930,skvr09303940,skvr09303950,skvr09303960,skvr09303970,skvr09303980,skvr09303990,skvr09304000,skvr09304010,skvr09304020,skvr09304030,skvr09304040,skvr09304050,skvr09304060,skvr09304070,skvr09304080,skvr09304090,skvr09304100,skvr09304110,skvr09304120,skvr09304130,skvr09304140,skvr09304150,skvr09304160,skvr09304170,skvr09304180,skvr09304191,skvr09304191,skvr09304190,skvr09304200,skvr09304210,skvr09304220,skvr09304230,skvr09304240,skvr09304250,skvr09304260,skvr09304270,skvr09304280,skvr09304290,skvr09304300,skvr09304310,skvr09304320,skvr09304330,skvr09304340,skvr09304350,skvr09304360,skvr09304370,skvr09304380,skvr09304390,skvr09304401,skvr09304401,skvr09304400,skvr09304410,skvr09304420,skvr09304430,skvr09404640,skvr09404650,skvr09404660,skvr05225960,skvr06143860,skvr06143870,skvr06143880,skvr06143890,skvr06143900,skvr06143910,skvr06143920,skvr06143930,skvr06143940,skvr06143950,skvr06143960,skvr06143970,skvr06143980,skvr06143990,skvr06144000,skvr06144010,skvr06144020,skvr06144030,skvr06144040,skvr06144050,skvr06144060,skvr06144070,skvr06144080,skvr06144090,skvr06144100,skvr06144110,skvr06144120,skvr06144130,skvr06144140,skvr06144150,skvr06144160,skvr06144170,skvr06144180,skvr06144190,skvr06144200,skvr06144210,skvr06144220,skvr06144230,skvr06144240,skvr06173360,skvr06173370,skvr06173380,skvr06173390,skvr06173400,skvr07225130,skvr07225140,skvr07225150,skvr07225160,skvr07225170,skvr07225180,skvr07225190,skvr07225200,skvr07225210,skvr07225220,skvr07225230,skvr07302450,skvr08102150,skvr08102160,skvr08102170,skvr08102180,skvr08102190,skvr08102200,skvr08102210,skvr08102220,skvr08102230,skvr08102240,skvr08102250,skvr08102260,skvr08102270,skvr08102280,skvr08102290,skvr08102300,skvr08102310,skvr08102320,skvr08102330,skvr08102340,skvr08102350,skvr08102360,skvr08102370,skvr08102380,skvr08144860,skvr08144870,skvr10135830,skvr10135840,skvr10135850,skvr10135860,skvr10135870,skvr10135880,skvr10135890,skvr10135900,skvr10135910,skvr10135920,skvr10135930,skvr10135940,skvr10135950,skvr10135960,skvr10135970,skvr10135980,skvr10135990,skvr10136000,skvr10136010,skvr10136020,skvr10136030,skvr10136040,skvr10136050,skvr10136060,skvr10136070,skvr10136080,skvr10136090,skvr10136100,skvr10136110,skvr10136120,skvr10136130,skvr10136140,skvr10136150,skvr10136160,skvr10136170,skvr10136180,skvr10136190,skvr10136201,skvr10136202,skvr10136200,skvr10154850,skvr10154860,skvr11109190,skvr11109200,skvr11109210,skvr11109220,skvr11109230,skvr11109240,skvr11109250,skvr11109260,skvr11109270,skvr11109280,skvr11109290,skvr11109300,skvr11109310,skvr11109320,skvr12158730,skvr12158740,skvr12158750,skvr12158760,skvr12158770,skvr12158780,skvr12158790,skvr12158800,skvr12158810,skvr12158820,skvr12158830,skvr12158840,skvr12158850,skvr12158860,skvr12186460,skvr12186470,skvr12186480,skvr12186490,skvr12186500,skvr13092600,skvr13092610,skvr13092620,skvr13092630,skvr13092640,skvr13092650,skvr13092660,skvr13092670,skvr13092680,skvr13092690,skvr13092700,skvr13092710,skvr13092720,skvr13092730,skvr13092740,skvr13092750,skvr13092760,skvr13092770,skvr13129750,skvr13129760,skvr13129770,skvr13129780,skvr13129790,skvr13129800,skvr13129810,skvr13129820,skvr13129830,skvr14118120,skvr14123740,skvr14123750,skvr14123760,skvr14123770,skvr14123780,skvr14123790,skvr14123800,skvr14123810,skvr14123820,skvr14123830,skvr14123840,skvr14123850,skvr14123860,skvr14123870,skvr14123880,skvr14123890,skvr14123900,skvr14123910,skvr14123920
t060500_1480	Niskan kipu	skvr09404670,skvr12158870,skvr13092780
