t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t020500_0110	Emo tuuti turvaksensa	skvr03101710,skvr03101720,skvr03101730,skvr03101750,skvr03105020,skvr03105360,skvr03105940,skvr03108910,skvr03114650,skvr03114660,skvr03114670,skvr03114680,skvr03114910,skvr03115100,skvr03118720,skvr03120960,skvr03124770,skvr03126990,skvr03131990,skvr03132140,skvr03132610,skvr03132980,skvr03134530,skvr03135350,skvr03137450,skvr03138060,skvr03139220,skvr03142440,skvr04111730,skvr04113060,skvr04113630,skvr04102060,skvr04103310,skvr04106190,skvr04107840,skvr04108220,skvr04108740,skvr04109210,skvr04109220,skvr04109460,skvr04109560,skvr04116310,skvr04116840,skvr04117020,skvr04117820,skvr04123620,skvr04125990,skvr04131480,skvr04134620,skvr04136800,skvr04138120,skvr04138580,skvr05104500,skvr05212120,skvr05212170,skvr05212200,skvr05212230,skvr05212260,skvr05212270,skvr05212280,skvr05212290,skvr05212300,skvr05212310,skvr05212680,skvr05212830,skvr05212850,skvr05212860,skvr05212870,skvr05201680,skvr05217520,skvr05217980,skvr05203490,skvr05209830,skvr05304201,skvr05304200,skvr05306951,skvr05306950,skvr05307100,skvr05307131,skvr05307210,skvr06105600,skvr07117250,skvr07118200,skvr07118210,skvr07118221,skvr07118220,skvr07118230,skvr07119190,skvr07119200,skvr07120290,skvr07120700,skvr07124410,skvr07124590,skvr07109500,skvr07144140,skvr10101560,skvr13020150,skvr13020520,skvr13020640,skvr13020650,skvr13020690,skvr13021230,skvr13023170,skvr13023600,skvr13028600,skvr13031760,skvr13031770,skvr13031780,skvr13031790,skvr13031800,skvr13031810,skvr13031870,skvr13031880,skvr13031890,skvr13031920,skvr13032560,skvr13041300,skvr13056610,skvr13056630,skvr13056640,skvr13056740,skvr13056750,skvr13107780,skvr13108440,skvr15112840,skvr15113420
t020500_0120	Emo tuuti tuskiansa	skvr03108680,skvr03118900,skvr04107840,skvr04109460,skvr05109250,skvr05109280,skvr05212230,skvr05204610,skvr05205100,skvr05205490,skvr05205870,skvr05209490,skvr07118200,skvr07118230,skvr07119190,skvr07119200,skvr07121630,skvr07123670,skvr07138080,skvr07109500,skvr07144140,skvr10101560,skvr13000170,skvr13020390,skvr13020520,skvr13020590,skvr13020620,skvr13020630,skvr13020640,skvr13020650,skvr13020680,skvr13020710,skvr13031810,skvr13051000,skvr13106500,skvr13115960
t020500_0130	Emoa odottava neito	skvr03118250,skvr04111110
t020500_0140	Emon elättäjä, maahan saattaja	skvr04111350,skvr05217990,skvr05224440,skvr05209830,skvr05302220,skvr05302230,skvr05305180,skvr13012570,skvr13000600,skvr13031900,skvr13032390,skvr13032560,skvr13058990,skvr13082410
t020500_0150	Emon etsintä	skvr03107780,skvr05203210,skvr05204160,skvr05204250,skvr05204790,skvr05205850,skvr05300011,skvr05300010,skvr05304201,skvr05304200,skvr07118030,skvr07118980,skvr07122510,skvr13021240,skvr13023150
t020500_0155	Emon huolet tyttärestä - vävyn tuomiset	skvr03101720,skvr03100370,skvr03108860,skvr03108880,skvr03108920,skvr03109390,skvr03109400,skvr03115180,skvr03118390,skvr03120730,skvr03121110,skvr03125980,skvr03128780,skvr03129680,skvr03129960,skvr03132910,skvr03136940,skvr03138860,skvr04114150,skvr04101730,skvr04100230,skvr04100240,skvr04104610,skvr04100780,skvr04108780,skvr04109540,skvr04109550,skvr04116590,skvr04123640,skvr04126150,skvr04126220,skvr04129720,skvr04131090,skvr04131760,skvr04136740,skvr04137350,skvr04138310,skvr04141240,skvr15109830
t020500_0160	Emon unohtaminen	skvr03101720,skvr03101740,skvr03114500,skvr03114510,skvr03114520,skvr03114530,skvr03118490,skvr03119730,skvr03120960,skvr03126990,skvr03138060,skvr03142270,skvr04110330,skvr04146280,skvr05111100,skvr05212350,skvr05212400,skvr05307011,skvr05307010,skvr13031990,skvr13032000,skvr15112840,skvr15113030
t020500_0170	Emon vaivat	skvr01110210,skvr02106130,skvr03101720,skvr03101730,skvr03101740,skvr03101750,skvr03108610,skvr03108860,skvr03108910,skvr03112700,skvr03114510,skvr03114520,skvr03114530,skvr03114650,skvr03114660,skvr03114880,skvr03114910,skvr03115310,skvr03117540,skvr03118720,skvr03119730,skvr03121400,skvr03126990,skvr03127430,skvr03128470,skvr03128740,skvr03129620,skvr03129920,skvr03132140,skvr03132610,skvr03135350,skvr03135640,skvr03137450,skvr03137700,skvr03138060,skvr03138850,skvr03139220,skvr03139990,skvr03142270,skvr03142440,skvr03142570,skvr04110270,skvr04110330,skvr04114770,skvr04103140,skvr04106050,skvr04106540,skvr04107380,skvr04108280,skvr04100850,skvr04109630,skvr04115250,skvr04115280,skvr04116760,skvr04121420,skvr04121510,skvr04121850,skvr04123450,skvr04125390,skvr04131360,skvr04131450,skvr04135070,skvr04135490,skvr04135500,skvr04136380,skvr04136810,skvr04139960,skvr04145990,skvr04146060,skvr04146250,skvr04146400,skvr04146830,skvr04147090,skvr04147100,skvr04147180,skvr04147220,skvr04147460,skvr04147960,skvr05113270,skvr05212210,skvr05212360,skvr05212370,skvr05212380,skvr05212390,skvr05212400,skvr05212410,skvr05212420,skvr05212630,skvr05215970,skvr05205531,skvr05205540,skvr05310220,skvr05307000,skvr05307011,skvr05307010,skvr05307070,skvr05309181,skvr05309180,skvr13018130,skvr13001950,skvr13020150,skvr13020860,skvr13021140,skvr13000620,skvr13009870,skvr13031850,skvr13031990,skvr13032340,skvr13032350,skvr13032550,skvr13032830,skvr13043650,skvr13054230,skvr15111850,skvr15111980,skvr15112670,skvr15112800,skvr15112810,skvr15112830,skvr15112840,skvr15113030
t020500_0175	En itke itseäni, itken lapsiani	skvr05224420,skvr05204681,skvr05207670,skvr05209720,skvr05303350,skvr05308160,skvr13019810,skvr13019820,skvr13020130
t020600_0030	Ei kuulu kultaistani	skvr04101230,skvr04101390,skvr04145900,skvr05108900,skvr05211380,skvr05211540,skvr05211710,skvr05211720,skvr05203680,skvr05206380,skvr05206410,skvr05303871,skvr05303870,skvr05306780,skvr05306790,skvr06105940,skvr06106130,skvr06108280,skvr07120690,skvr07123390,skvr07123440,skvr07123460,skvr12104070,skvr12104080,skvr12104090,skvr12104110,skvr13015600,skvr13016450,skvr13016460,skvr13016470,skvr13016490,skvr13022020,skvr13030460,skvr13030470,skvr13030550
t020600_0040	Ei ole raukalla rakasta	skvr07123150,skvr13031390,skvr15101280
t020600_0050	En kukoista kullalleni	skvr05207350
t020600_0060	En voi mitään tehdä, kun en saa kultaa nähdä	skvr13108080,skvr13108090
t020600_0070	Ennen heitän herkkuruoat ennenkuin herttaseni	skvr05211390,skvr05207320,skvr07109340,skvr12103490,skvr12103500,skvr12103510,skvr13071770
t020600_0080	Enpä kauan kutsu, kyllä luonto luokse tuopi	skvr06105940,skvr06108280,skvr07123910,skvr12104070,skvr12104080,skvr12104090,skvr12104110,skvr15104910
t020600_0090	Etähällä on omani	skvr06105960,skvr13030500,skvr13030650
t020700_0060	Ei pitäisi nuoren neien uskoa uron sanoja	skvr04110220,skvr05109330,skvr05209550,skvr05209700,skvr05303890,skvr05305830,skvr05305850,skvr07124330,skvr07109750,skvr13027720
t020700_0070	Ei meitä pahoille panna	skvr03110250,skvr03110580,skvr03102910,skvr03102920,skvr03104690,skvr03108190,skvr03118100,skvr03120260,skvr03123660,skvr03124290,skvr03126250,skvr03126600,skvr03128250,skvr03133220,skvr03135870,skvr03137860,skvr03140680,skvr03141240,skvr13026740,skvr13026820
t020700_0080	Ei piian pienuudesta	skvr04106860,skvr05219920,skvr05208850,skvr07142300,skvr07142520,skvr13001600,skvr13025890,skvr13027850
t020700_0090	Ei ole sulhasta, kenen sormukset sopisi	skvr02104470,skvr05211380,skvr05212010,skvr05213990,skvr05208480,skvr05209700,skvr05305660,skvr05305670,skvr05305720,skvr05308081,skvr05308600,skvr05300970,skvr13012790,skvr13015651,skvr13030480,skvr13030490,skvr13034240,skvr13034250,skvr13034260,skvr13107600
t020700_0100	Ei tieä tytär kotonen	skvr03109330,skvr07118130,skvr07118700,skvr07144140
t020700_0110	Ei tunne tytön turakat tulla potrille pojille	skvr05223450
t020700_0120	Ei täyvy tätä tytärtä	skvr01114530,skvr04116550,skvr04123750,skvr05106570,skvr05108200,skvr05207840,skvr05208580,skvr05208680,skvr05208690,skvr05301460,skvr05301470,skvr05301480,skvr05301501,skvr05301500,skvr06105630,skvr06106090,skvr07123190,skvr07125430,skvr07125440,skvr07126180,skvr07126570,skvr07128440,skvr11100130,skvr12103440,skvr12103450,skvr13024680,skvr13024690,skvr13004490,skvr15104750
t020700_0130	Ellys vainen, neiti nuori, rengin reilihin ruvetko	skvr07124330,skvr07125560,skvr07125590,skvr07144100,skvr07144110,skvr07144120,skvr07144130
t020700_0140	Eläisi kesällä leski	skvr07145020,skvr13021800
t020700_0150	Emo neuvoo tyttöä siveysasioissa	skvr07123260,skvr07144160,skvr13032070,skvr13126530
t020700_0160	Empä anna Anniani	skvr07114410,skvr07123180,skvr07123190,skvr07128371,skvr07128370,skvr07128440
t020700_0170	Empä huoli huitukoista	skvr04103970,skvr05208370,skvr05208570,skvr05305691,skvr05305690,skvr06105760,skvr07124810,skvr07125530,skvr07128440,skvr13024750,skvr13024760,skvr13024770,skvr13031190,skvr13031300
t020700_0180	En mie huoli haljakasta - kun saisin sarassa käyä	skvr05311720,skvr05311820,skvr13024730,skvr13024740,skvr13041750,skvr13081930
t020700_0190	En mie katso Kaurin päälle	skvr05223530
t020700_0200	Ennen suostun suokiveen	skvr03102170,skvr03116010,skvr03140640
t020700_0210	Et sie tiedä poika parka	skvr05310340
t020801_0010	Ei neittä tukulla myydä	skvr07115620
t020801_0020	Ei ole huolta hoipakolla	skvr05310310,skvr05310320,skvr13047200
t020801_0030	Ei pitäneet pystyaidat	skvr03108700,skvr03109080,skvr03118370,skvr03118420,skvr03121190,skvr03139060,skvr15112240,skvr15112820
t020801_0040	Ei uraja ukko minulle	skvr13024830
t020801_0050	Eläkää tytöt hyvästi	skvr03110400,skvr03102720,skvr03109070,skvr03109100,skvr03126880,skvr03127990,skvr03128400,skvr03142020,skvr04102550,skvr04106880,skvr05209350
t020801_0060	Emo neuvoo tyttöä hyvissä tavoissa	skvr04129350,skvr05212810,skvr10120242,skvr13015350,skvr13015790,skvr13027691
t020801_0070	En ole surrut milloinkaan	skvr13020330
t020801_0080	En tunne anoppiani - appeani	skvr05110470,skvr05215720,skvr05304680,skvr13023490,skvr13024840,skvr13028090,skvr13036640
t020801_0090	Ennen kuusia kumarran	skvr01114270,skvr01114280,skvr01114370,skvr01114560,skvr05215650,skvr05216110,skvr05207470,skvr05207860,skvr05305330,skvr05305630,skvr06105510,skvr07115140,skvr07118690,skvr07118750,skvr07121430,skvr07123160,skvr07123170,skvr07124670,skvr13024220,skvr13024230
t020801_0100	Ennen suden suussa	skvr03101510,skvr03102900,skvr03115390,skvr03115530,skvr03118520,skvr03138150,skvr03140040,skvr04136750
t020802_0110	Ei anna hevosta appi	skvr04126660,skvr07117690
t020802_0120	Ei minua tuttukana tuvallisen tuutimaksi	skvr07124960
t020802_0130	Eipä käske mahti maata	skvr07115600,skvr07131320
t020802_0140	En kiitä kihlojani	skvr07121080,skvr07124390,skvr07124400
t020802_0150	En kurja kukalle päässyt - kesken leikattiin	skvr04104960,skvr04116960
t020802_0160	Ennen toivoin torstakia	skvr05207500
t020802_0170	Entisen sulhon isästä	skvr04111120
t020803_0020	Ei minua mies toruisi	skvr03110500,skvr04110980,skvr04125790,skvr04133440,skvr04133840,skvr04135400,skvr04137040,skvr04137070,skvr13027420
t020803_0030	Ei tiedä kotoiset vaimot, missä miehet mellakoivat	skvr01217150,skvr05306800,skvr06105610,skvr06105620,skvr06106190,skvr07118040,skvr07118050,skvr07118060,skvr07118070,skvr07146160,skvr12165290,skvr12165530,skvr12165540,skvr13027930,skvr15101180,skvr15104500
t020803_0040	Elköön minua vasten vitat viiassa yletkö	skvr07118260,skvr07118270,skvr07124680
t020803_0050	Emo tunki turnukselle	skvr05208770,skvr13032420,skvr13032660,skvr13041920
t020803_0060	En itke leivättyyttä	skvr04135840,skvr05212000,skvr05205180,skvr05206160,skvr05209600,skvr05304650,skvr05305221,skvr05305220,skvr07119240,skvr13019850
t020803_0070	En kysynyt, miten miestä palvellaan	skvr03115410,skvr04123700,skvr04141940,skvr04145870
t020803_0080	En meroa kiitä, nielee miehet	skvr03111820,skvr03102670,skvr03102680,skvr03114550,skvr03141380,skvr04110370,skvr04122580,skvr05110530,skvr05221420,skvr05306660,skvr05300820,skvr06104940,skvr13007220,skvr13027290,skvr13033330,skvr13033340,skvr13033350,skvr13033360,skvr13033370,skvr13033470,skvr13033540,skvr13066040,skvr13107770,skvr13124680
t020803_0090	En saanut sitä kaloa	skvr05213990,skvr05215080,skvr07118600,skvr07118610,skvr07118620,skvr07119620
t020803_0100	En sukittanut suotuani	skvr07118620
t020804_0010	Ei ollut emoni kuin nykyiset naiset	skvr03139800,skvr05212620,skvr05220510,skvr05302800,skvr05306920,skvr05306930,skvr05306940,skvr07126720,skvr07127580,skvr13020170,skvr13020230,skvr13031850,skvr13056630,skvr15104720,skvr15104730
t020804_0020	Ei ollut emoni paitoi panelemassa	skvr05306000
t020804_0030	Emo, mene kaskelle, jätä minut kirnuamaan	skvr13026880
t020804_0040	Emäntänä on ehta olla	skvr04107760,skvr04126170,skvr07122550,skvr07127600
t020804_0050	En minä tikata taida	skvr04110980,skvr04109070,skvr07119350,skvr07131310,skvr07131320,skvr15101490
t020804_0060	Enkö mie käynyt käskyissäsi	skvr04109370
t020804_0070	Ennen kannan maitokannun kuin kaskipölkyn	skvr05101630,skvr05101650,skvr05101660,skvr05101670,skvr05201340,skvr05224260,skvr13024780,skvr13024790,skvr13024800,skvr13024810,skvr13024820,skvr13004980,skvr13026930,skvr13048610,skvr13081460
t020902_0010	Ei pientä piikalasta talossa	skvr13027840
t020902_0020	Ei tiedä nykyiset miehet milloin piiat tuorestuvat	skvr06105610,skvr06106190
t020902_0030	Elkää surko suuret sulhot, jos on piiat pikkaraiset	skvr04108680,skvr05210490,skvr05208850,skvr07142290,skvr07142300,skvr07142520,skvr13025890,skvr13027860,skvr13028490
t020902_0040	Elköhön nykyiset miehet nouatelko neion mieltä	skvr07124420
t020902_0050	Emo toruisi, jos toisin riitelevän nuorikon	skvr04113890,skvr04117090,skvr04130520,skvr05210180,skvr05220580,skvr05223030,skvr05200320,skvr05206580,skvr05209910,skvr05209920,skvr05209960,skvr05209970,skvr05209980,skvr07126710,skvr07126720,skvr07127210,skvr07127550,skvr13028060,skvr13028920,skvr13028930,skvr13028940,skvr13032730,skvr13108020
t020902_0060	En pole päätä puolisoni	skvr15104520
t020902_0070	En tammea tavannut, osannut en omenapuuhun	skvr05213930,skvr06107190,skvr07124740,skvr07124760,skvr07125000
t020902_0080	Erilaiset vaimot	skvr06105780
t020902_0090	Etsi maan parasta neitoa - sai pahimman	skvr04111390,skvr04108470,skvr04117540,skvr13026020
t020902_0100	Etsin neittä neljä vuotta	skvr03140560,skvr04111540,skvr04101250,skvr04101340,skvr04100150,skvr04115680,skvr04116980,skvr04117600,skvr04117770,skvr04119280,skvr04119300,skvr04131830,skvr04134480,skvr05210820,skvr15111460
t020903_0030	Ei meillä pyyllä pyhää pietty	skvr01113570
t020903_0040	Ei poika poluksi joua	skvr07127560
t020903_0050	Ei tiedä pojan poloset, koska otetaan sotamieheksi	skvr13030180
t020903_0070	Emo neuvoi poikiansa - sodassa	skvr01110250,skvr04126670,skvr04126810,skvr05111940,skvr05113280,skvr05210990,skvr05224380,skvr05209770,skvr05209780,skvr05306191,skvr05306190,skvr13010850,skvr13000310,skvr13032110,skvr13081930
t020903_0080	Emo neuvoi poikoansa - juomingeissa	skvr01120050,skvr01120060,skvr01120070,skvr01120080
t020903_0090	Emo tee parempi poika	skvr13028050
t020903_0100	En huoli muiden verkavaatteista	skvr05222880
t020903_0110	En mä elä elotta, asu ilman ammatitta	skvr01102730
t020903_0120	En ole pahoista tehty	skvr07126760
t020903_0130	En sovi soutamaan	skvr13029260
t020903_0140	En sure sotakesiä	skvr05113280,skvr05210990,skvr05211230,skvr05223030,skvr05206140,skvr05206250,skvr05208080,skvr13024710
t020903_0150	Ennen miehet hirsiä kolosi, nyt neitojen koipia	skvr05210230,skvr05210371,skvr05210380,skvr05214070,skvr13010010,skvr13003200,skvr13028870,skvr13081050
t020903_0160	Ennen pyysin suurilla saloilla, nykyiset miehet lähimetsissä	skvr06148240,skvr06148290,skvr06148740,skvr07232890,skvr07233010,skvr07233250
t021000_0020	Ei silloin siloissa käyty	skvr06104790,skvr06171240
t021000_0030	Elin syksyn - näinkö kesän	skvr13015160
t021000_0040	En mie uskonut olisi	skvr03115160,skvr04110470,skvr04100170,skvr04102730,skvr04108680,skvr04109060,skvr04115340,skvr04116910,skvr04121450,skvr04123690,skvr04125810,skvr04126160,skvr04136740,skvr05101930,skvr05213880,skvr05205840,skvr05304431,skvr05304430,skvr05304441,skvr05304440,skvr05305210,skvr05307451,skvr05307450,skvr05309671,skvr05309670,skvr07117740,skvr07119820,skvr07119850,skvr07120180,skvr07124430,skvr07124440,skvr07124960,skvr13032700,skvr13080480,skvr13080490,skvr13080500,skvr13080510,skvr15112090
t021000_0050	Entinen ja nykyinen aika	skvr03103770,skvr03107440,skvr03136020,skvr05221910,skvr13081060
t030200_0040	Emo, keitä voinen putro	skvr05220780
t030200_0050	Emo laittoi piennä paimeneen	skvr04104090,skvr04133130,skvr05106880,skvr05108200,skvr13032630,skvr13077520
t030200_0060	Emo, tee parempi paita, menen paimeneen	skvr04106160,skvr05113090,skvr05101390,skvr05210450,skvr05212430,skvr05220760,skvr05220770,skvr05220780,skvr05220790,skvr05220880,skvr05310770,skvr13004350,skvr13077070,skvr13077080,skvr13077090,skvr13125080
t030200_0070	Emäntä paha kotona	skvr05220990,skvr13043790,skvr13077650,skvr13077660,skvr13077720,skvr13077960
t030200_0080	En minä pilliä piellyt	skvr06108590
t030300_0475	Ehtoolla on kuin miekantuoppi	skvr09121390
t030300_0480	Ei nuku kun nukutan	skvr07134160
t030300_0490	Ei se itku auta	skvr09202490,skvr09202570,skvr09202710,skvr05218350,skvr06115990,skvr07134210,skvr07134220,skvr07134230,skvr07137320,skvr13050160
t030300_0500	Ei sinua etäälle viiä	skvr06110160,skvr06110170,skvr07134760
t030300_0510	Ei sua sotahan saada	skvr09202610
t030300_0520	Eljas	skvr09121320
t030300_0530	Eno-Kalle	skvr09121360
t030400_0170	Erilaisia liekkulauljuja	skvr04127160,skvr05216570,skvr05201770,skvr05219750,skvr05219760,skvr05220680,skvr05220710,skvr05220730,skvr05220750,skvr05200200,skvr05200210,skvr05200220,skvr05200230,skvr05200240,skvr05200250,skvr05302640,skvr05302650,skvr05302660,skvr05302670,skvr13015690,skvr13015700,skvr13076740,skvr13076750,skvr13076760,skvr13076940,skvr13105671,skvr13106650,skvr13125020
t030500_0010	Ei pidot piätä	skvr05309931,skvr05309930
t030500_0020	En tallo taimianne	skvr03110270,skvr03101430,skvr03107580,skvr03127990,skvr04110590,skvr04110600,skvr04108950,skvr04124570,skvr04126850,skvr04127690,skvr04131730,skvr04132490,skvr04139120,skvr05217270
t030600_0110	Ei ole nykyiset naiset	skvr05220510
t030600_0120	Ei pidä leikissä levätä	skvr05217490,skvr05219730,skvr05219740,skvr05219940,skvr13015460,skvr13070800
t030600_0130	Ei yynnä yksi jaksa	skvr13071520
t030600_0140	En huoli hovin palosta	skvr13124310
t030600_0150	En seiso sillallasi, seison kemppikengilläni	skvr04111230,skvr05220260,skvr05220480,skvr05220590,skvr05208630,skvr13047190,skvr13047200
t030600_0160	En sinusta erkane vaikka kivetkin kiljuis	skvr12120930,skvr13072070,skvr13072130,skvr13072200,skvr13072220,skvr13072230,skvr13072640
t030600_0170	Etsi emäntäsi, isäntäsi	skvr05219540,skvr05219550,skvr05220010,skvr05220050,skvr05220060,skvr07142310,skvr07142320,skvr13071780,skvr13071790,skvr13071800,skvr13071810,skvr13071820,skvr13071830,skvr13071840,skvr13071850,skvr13071860,skvr13071870,skvr13071890,skvr13071900,skvr13071910,skvr13071920,skvr13071930,skvr13071940,skvr13072360,skvr13072380,skvr13072670,skvr13072690,skvr13072710,skvr13072720,skvr13108600,skvr13124030
t030600_0180	Etsi poika itsesi ikäistä	skvr13071470
t030600_0190	Etsin yhtä ystävää	skvr05219530,skvr05219540,skvr05219560,skvr05219570,skvr05219580,skvr05310530,skvr07142310,skvr07142330,skvr07142350,skvr07142360,skvr07142370,skvr07142380,skvr07142390,skvr07142400,skvr07142410,skvr07142420,skvr07142430,skvr07142440,skvr07142720,skvr13071950,skvr13071960,skvr13071970,skvr13071980,skvr13071990,skvr13072000,skvr13072010,skvr13072020,skvr13072030,skvr13072040,skvr13072760,skvr13124140,skvr15101920
t030700_0020	Ennen on kesän lehmättä kuin joulun akatta	skvr13072610
t030800_0020	Ei löydy meidän kylän vertaista	skvr03102020,skvr03100470,skvr03100060,skvr03118110,skvr03120350,skvr03128510,skvr03135770,skvr03139170,skvr03139810,skvr04112010,skvr04105000,skvr04106100,skvr15111320,skvr15111330
t030800_0030	Ei meillä surulla syödä	skvr05112050,skvr05208730,skvr05208740,skvr05200870,skvr05200880,skvr05302810,skvr05302820,skvr05303481,skvr05303480,skvr05309620,skvr06128530,skvr06105590,skvr07116390,skvr07125620,skvr10101690,skvr13016280,skvr13016300,skvr13018821,skvr13026730,skvr13004050,skvr13033380,skvr13047410
t040101_0020	Ehkä tuosta vävy saadaan	skvr13034280
t040101_0030	Ei neittä turulla myydä	skvr06107560,skvr06165430,skvr06165440,skvr13034220,skvr13034230
t040101_0040	Ennen kävimme muina vieraina, nyt sulhasina	skvr07128130,skvr07128140,skvr07128240,skvr07128250,skvr07128280,skvr07128290
t040105_0010	En tallannut taimianne	skvr03103990,skvr03117000,skvr03117010,skvr03117280,skvr03119150,skvr03136250,skvr03139680,skvr04123100
t040201_0020	Etsit ottajia	skvr04138440,skvr04139020
t040201_0030	Ette ole porossa polvin, olette rikkaan rikoilla	skvr04124990,skvr04130750,skvr04132800,skvr04134350,skvr04141070
t040202_0010	Ei ole kopeekan komsu (morsiamesta)	skvr04102900,skvr04106950,skvr04123240,skvr04124320,skvr04124340,skvr04130500,skvr04131590,skvr04134350,skvr04139030,skvr04139360,skvr04141200,skvr04141660
t040202_0020	En istu penkillenne	skvr03104020,skvr03100090,skvr03117350,skvr03142660,skvr13046130,skvr13046140,skvr13046330,skvr13047190,skvr13047200
t040202_0030	En tullut syömistä varten	skvr03100210,skvr03104040,skvr03100090,skvr03116370,skvr03116950,skvr03117360,skvr03122640,skvr03122740,skvr03124390,skvr03124590,skvr03124640,skvr03124890,skvr03125060,skvr03130090,skvr03130380,skvr03130600,skvr03130770,skvr03131030,skvr03131080,skvr03131090,skvr03131670,skvr03131910,skvr03132500,skvr03132680,skvr03133370,skvr03135610,skvr03135700,skvr03135760,skvr03142730,skvr04112630,skvr04112850,skvr04114920,skvr04105480,skvr04123160,skvr04146020,skvr04146120,skvr04146130,skvr04146340,skvr04146430,skvr04146450,skvr04147360,skvr15111610
t040202_0040	En tullut taarin tarpeessa, tulin katsomaan	skvr05215780,skvr07130380,skvr13022020,skvr13042330
t040203_0010	Emo istuu kynnyksellä	skvr03117050,skvr03117490
t040205_0010	Ei ole huntu huorahuntu	skvr05214630,skvr05214730
t040205_0020	Erilaisia hunnutusvirsiä	skvr01116020,skvr01116030,skvr01116200,skvr01116410,skvr03117680,skvr03121340,skvr05223150,skvr13047080,skvr13047090,skvr13047110
t040206_0100	Ei auttanut sinua emosi, vaan kylän vaimot	skvr13037420
t040206_0110	Ei itke isäsi sinua, hevostaan itkee	skvr04138330
t040206_0120	Ei minua muut tunne kotiin tullessani	skvr07110310,skvr07129150,skvr07129420,skvr07129510,skvr07129590
t040206_0130	Ei ole emollasi ketä ajaa kivenpuuhun	skvr05308381,skvr05308380
t040206_0140	Ei ole sitä kelle vaivasi valitat	skvr05213560,skvr05213620,skvr05215680
t040206_0150	Ei olisi nukkavierussa nutussa, jos olisi iso elossa	skvr05216000,skvr13039860,skvr13044940
t040206_0160	Ei sinua etäälle viedä	skvr05217110,skvr05308220,skvr06107820,skvr13036790,skvr13037370,skvr13041750,skvr13046830,skvr13108910
t040206_0170	Ei sinua pitäneet pystyaidat	skvr03117740,skvr03122650,skvr03124960,skvr03131110,skvr13035340,skvr13037780,skvr13037790,skvr13038100,skvr13038140
t040206_0180	Eikö haista haikealle?	skvr04103310,skvr04116260,skvr04123290,skvr04123340,skvr04124190,skvr04124300,skvr04127490,skvr04128900,skvr04131570,skvr04134140,skvr04141910,skvr04145820,skvr15111740
t040206_0190	Elä ole pahoilla mielin	skvr01116400,skvr01116640,skvr01116680,skvr01116760,skvr01116770,skvr01116780,skvr01116790,skvr01116811,skvr01116810,skvr01116820,skvr01116840,skvr01116861,skvr01116860,skvr01116970,skvr01117000,skvr01117010,skvr01117020,skvr01117040,skvr01117080,skvr01117100,skvr01117210,skvr01117420,skvr01222500,skvr03130410,skvr03142750,skvr04106920,skvr04115820,skvr04116550,skvr04116690,skvr04124330,skvr04135980,skvr04136160,skvr04136180,skvr07129940,skvr07131290,skvr07131510,skvr13041460,skvr13041800,skvr13041890,skvr13041910,skvr13041980,skvr13043930
t040206_0200	En olisi uskonut tytön tyrmään menevän	skvr04124250,skvr04135880,skvr05307451,skvr05307450
t040206_0210	Et itke lehmättyyttä, itket hienoja hiuksia	skvr05212910,skvr05309580,skvr13036790,skvr13037530,skvr13037540,skvr13037550,skvr13038480,skvr13046710,skvr13047000,skvr13047370,skvr13109800
t040206_0220	Et kuunnellut äidin ja sisaren neuvoja	skvr03104260
t040206_0230	Et ole emoni lapsi	skvr05308451,skvr05308450,skvr06107621,skvr13035100,skvr13036980,skvr13037380,skvr13037390,skvr13037810,skvr13044060,skvr13044330,skvr13045830
t040206_0240	Et osaa ovissa käydä	skvr03123440,skvr03133010,skvr03134830,skvr04112780,skvr04101700,skvr04103300,skvr04107060,skvr04115820,skvr04115880,skvr04115900,skvr04116680,skvr04123220,skvr04124190,skvr04124250,skvr04124280,skvr04124440,skvr04129730,skvr04131570,skvr04133490,skvr04134780,skvr04141800,skvr05215570,skvr05215650,skvr05216380,skvr05307821,skvr05307820,skvr07131380,skvr13038130,skvr13038140,skvr13038200,skvr13038210,skvr13038230,skvr13046820
t040206_0250	Et tiedä ketä kumarrat	skvr04132600,skvr13043780,skvr13044020,skvr13045480
t040207_0020	Eessä on oma oroni	skvr13109880
t040207_0030	Ei jaksa hepo vetää	skvr13040460
t040207_0040	Emyt hulkkuu sydän pivossa	skvr03100240,skvr03104040,skvr03117050,skvr03117120,skvr03117490,skvr03117700,skvr03121040,skvr03124770,skvr03125490,skvr03132300,skvr03132920,skvr03142750
t040207_0050	En tule ison kotiin ennen kuin oma poika on ohjaksissa	skvr07110040,skvr07110270,skvr07110310,skvr07129110,skvr07129510,skvr07129590,skvr13025750
t040207_0060	Et luvannut lähteväsi	skvr04118010,skvr04122950,skvr04139460,skvr05213540,skvr05213870
t040302_0010	Ei ole syytä istujassa, jos pieru tulee	skvr13046100,skvr13109890,skvr13109900,skvr13109910
t040401_0090	Ei suvaitse meidän sulho	skvr04112670,skvr04126940,skvr04127100,skvr04127470,skvr04128230,skvr05214370,skvr05215500,skvr05215520,skvr05215960,skvr07129940,skvr13037230,skvr13042930,skvr13042940,skvr13042980,skvr13043010,skvr13043040
t040401_0100	Ei tarvis talosen vaimon	skvr07131380
t040401_0110	Ellei anoppi anna voita, kanna viljaa kylään	skvr13037930,skvr13043350,skvr13043690
