t010100_0210	Eeva, vaimo ensimmäinen	skvr12102030
t020100_0220	Emo antoi äänen	skvr03112340,skvr03102180,skvr03105450,skvr03105780,skvr03108720,skvr03114810,skvr03114820,skvr03114840,skvr03114880,skvr03115000,skvr03123070,skvr03134510,skvr04110270,skvr04105000,skvr04106050,skvr04117100,skvr04123560,skvr04139960,skvr05201080,skvr05201580,skvr05201590,skvr05302880,skvr05300581,skvr05300580,skvr13016710,skvr13028590,skvr13081180,skvr15111850,skvr15111950,skvr15111960,skvr15111970,skvr15111980
t020100_0230	Emo ei saanut laululla rahoja	skvr03104990,skvr03114560,skvr03115920,skvr03140710,skvr04117050,skvr04131990,skvr05201610,skvr05200030,skvr05200410,skvr05200420,skvr05205210,skvr05200610,skvr05200620,skvr05200651,skvr05200660,skvr05200680,skvr05200690,skvr05200700,skvr05200710,skvr05200720,skvr05200750,skvr05200770,skvr05200800,skvr05302620,skvr05302760,skvr05302790,skvr05302800,skvr13015750,skvr13015760,skvr13015770,skvr13015780,skvr13015790,skvr13015800,skvr13015810,skvr13015820,skvr13015830,skvr13015840,skvr13016100,skvr13016110,skvr13016120,skvr13017010,skvr13018060,skvr13045900,skvr13105570
t020100_0240	En ilolla laula	skvr01112910,skvr01113930,skvr01118320,skvr01222200,skvr03101090,skvr03101160,skvr03101180,skvr03101440,skvr03104940,skvr03108200,skvr03108530,skvr03114470,skvr03114570,skvr03114580,skvr03114590,skvr03114600,skvr03114610,skvr03114980,skvr03118070,skvr03126550,skvr03129120,skvr03132080,skvr03132190,skvr03132210,skvr03132480,skvr03132640,skvr03136310,skvr03137060,skvr03141930,skvr04110340,skvr04110400,skvr04110970,skvr04111080,skvr04113630,skvr04113640,skvr04113780,skvr04113880,skvr04114640,skvr04103060,skvr04106650,skvr04106700,skvr04109900,skvr04115260,skvr04116920,skvr04117750,skvr04121400,skvr04121440,skvr04121480,skvr04121550,skvr04121580,skvr04121730,skvr04121780,skvr04121790,skvr04123430,skvr04123510,skvr04123650,skvr04125520,skvr04129020,skvr04130880,skvr04131420,skvr04132170,skvr04132900,skvr04132980,skvr04134420,skvr04134760,skvr04135320,skvr04135330,skvr04135400,skvr04135420,skvr05201220,skvr05201230,skvr05201250,skvr05201260,skvr05201490,skvr05201870,skvr05223980,skvr05224160,skvr05202880,skvr05200280,skvr05203091,skvr05200340,skvr05200350,skvr05200370,skvr05204740,skvr05204930,skvr05204950,skvr05205210,skvr05205240,skvr05205720,skvr05205750,skvr05205910,skvr05205920,skvr05206070,skvr05206100,skvr05206170,skvr05206410,skvr05302681,skvr05302680,skvr05302690,skvr05302701,skvr05302700,skvr05303510,skvr05304040,skvr05304100,skvr06105770,skvr07106160,skvr07114870,skvr07115660,skvr07115670,skvr07117460,skvr07118291,skvr07118290,skvr07118300,skvr07118440,skvr07118840,skvr07118900,skvr07119530,skvr07119920,skvr07119930,skvr07119940,skvr07119950,skvr07119960,skvr07119970,skvr07119990,skvr07120000,skvr07120010,skvr07120020,skvr07120030,skvr07120040,skvr07120080,skvr07121290,skvr07121630,skvr07121640,skvr07134840,skvr13010960,skvr13015870,skvr13015880,skvr13015890,skvr13015900,skvr13017780,skvr13017840,skvr13017930,skvr13018930,skvr13019200,skvr13019730,skvr13019970,skvr13020360,skvr13020920,skvr13105980,skvr13106520,skvr13121560,skvr15111930,skvr15112080,skvr15112090,skvr15112100,skvr15112400,skvr15112510,skvr15112570,skvr15113220,skvr15113370,skvr15113390,skvr15113420,skvr15109530
t020100_0250	En luvannut laulaa	skvr03114490,skvr03114580,skvr04110830,skvr04114640,skvr04107600,skvr04108560,skvr04121130,skvr04121500,skvr04121790,skvr04134420,skvr05205360,skvr05302711,skvr05302710,skvr05304770,skvr13015970,skvr13033320,skvr13105580,skvr15112570,skvr15113380,skvr15113400,skvr15109510
t020100_0260	En ole huora vaikka huudan	skvr05201060,skvr05208580,skvr13105670
t020100_0270	En ole laulajan lajia	skvr01112960,skvr01113060,skvr01113440,skvr02103920,skvr04109000,skvr04109310,skvr04116470,skvr04117010,skvr04121490,skvr04123420,skvr04131720,skvr04132000,skvr04132170,skvr04133820,skvr04134360,skvr04135320,skvr05216940,skvr05200380,skvr05200390,skvr05200400,skvr05200410,skvr05200420,skvr05200430,skvr05200440,skvr05205050,skvr05200580,skvr05207320,skvr05302620,skvr05302800,skvr05302880,skvr06105420,skvr06105430,skvr06148260,skvr07115330,skvr07115340,skvr07116140,skvr07116150,skvr07116590,skvr07116650,skvr07117050,skvr07117100,skvr07117110,skvr07117120,skvr07126930,skvr12103200,skvr13015980,skvr13015990,skvr13016000,skvr13018400,skvr13018800,skvr13018940,skvr13040770
t020100_0280	En ole nokki nuotilleni	skvr13016070
t020100_0290	En ole opissa ollut	skvr01113010,skvr03110210,skvr03101970,skvr03104600,skvr03105490,skvr03100570,skvr03100780,skvr03108290,skvr03100820,skvr03108710,skvr03108990,skvr03109420,skvr03109430,skvr03109440,skvr03109450,skvr03113230,skvr03114300,skvr03114740,skvr03115000,skvr03115210,skvr03115320,skvr03115340,skvr03115370,skvr03118450,skvr03118810,skvr03120690,skvr03120950,skvr03123070,skvr03123080,skvr03123620,skvr03124100,skvr03124320,skvr03125190,skvr03126150,skvr03126230,skvr03126640,skvr03126910,skvr03127050,skvr03127400,skvr03127980,skvr03128120,skvr03128170,skvr03128530,skvr03129370,skvr03129630,skvr03131420,skvr03132830,skvr03134500,skvr03135280,skvr03135880,skvr03136970,skvr03137070,skvr03138350,skvr03139090,skvr03140110,skvr04101060,skvr04101370,skvr04114220,skvr04101420,skvr04101430,skvr04101910,skvr04105760,skvr04107190,skvr04107360,skvr04108070,skvr04108190,skvr04108280,skvr04109030,skvr04109840,skvr04121780,skvr04121830,skvr04121960,skvr04122160,skvr04122180,skvr04122210,skvr04122390,skvr04123390,skvr04123420,skvr04124900,skvr04125190,skvr04126150,skvr04127160,skvr04128220,skvr04130880,skvr04131070,skvr04131370,skvr04131660,skvr04133810,skvr04135310,skvr04136530,skvr04141120,skvr05102850,skvr05201500,skvr05201820,skvr05219510,skvr05202330,skvr05202340,skvr05202390,skvr05202400,skvr05202710,skvr05202880,skvr05200400,skvr05204330,skvr05200500,skvr05200550,skvr05200560,skvr05200570,skvr05200580,skvr05200590,skvr05200600,skvr05206400,skvr05302720,skvr05302730,skvr05302740,skvr05302751,skvr05302750,skvr06105030,skvr06105180,skvr07114970,skvr07114980,skvr07114990,skvr07115000,skvr07116720,skvr07116730,skvr07116870,skvr07118291,skvr07118290,skvr07119920,skvr07120000,skvr07215710,skvr07228320,skvr13015200,skvr13016010,skvr13016020,skvr13016030,skvr13016040,skvr13016050,skvr13016060,skvr13016320,skvr13017620,skvr13017850,skvr13018540,skvr13019140,skvr13029540,skvr13045810,skvr13048600,skvr13105450,skvr13105590,skvr13105600,skvr15111990,skvr15112000,skvr15112010,skvr15112020,skvr15112030,skvr15112040,skvr15112050,skvr15112060,skvr15112130,skvr15112450
t020100_0300	En tullut istumaan, vaan ihmisten iloksi	skvr05219740,skvr05200840,skvr05200900,skvr05302560,skvr05303640,skvr05305360,skvr13018530,skvr13071570,skvr13105990
t020100_0310	En väsy minä väkevä	skvr03102180,skvr03127520,skvr04116710,skvr04121870,skvr04122150,skvr04125630,skvr04133080,skvr05202920,skvr13019130
