t061500_1150	Uimaan mennessä	skvr01221070,skvr09315920,skvr09315930,skvr09315940,skvr09315950,skvr09315960,skvr09416050,skvr09416060,skvr09416070,skvr09416080,skvr09416090,skvr09416100,skvr09416110,skvr09416120,skvr09416130,skvr09416140,skvr09416150,skvr09416160,skvr09416170,skvr09416180,skvr09416190,skvr06122440,skvr06122450,skvr06122460,skvr06122470,skvr06122480,skvr06122490,skvr06122500,skvr06122510,skvr06122520,skvr06122530,skvr06122540,skvr06122550,skvr07251790,skvr07251800,skvr07251810,skvr07251820,skvr07251830,skvr07251840,skvr07300520,skvr07300530,skvr07300540,skvr07300550,skvr08144740,skvr08144750,skvr10151681,skvr10151690,skvr10151700,skvr10151710,skvr10151720,skvr10151730,skvr10151740,skvr10151750,skvr10151760,skvr10151770,skvr10151780,skvr10151790,skvr10151800,skvr10151810,skvr10151820,skvr10151830,skvr10151840,skvr10151850,skvr10151860,skvr10151870,skvr10156070,skvr11124370,skvr11124380,skvr11124390,skvr11124400,skvr11124410,skvr11124420,skvr11124430,skvr11124440,skvr11124450,skvr12179740,skvr12179750,skvr12179760,skvr12179770,skvr12179780,skvr12179790,skvr12179800,skvr12179810,skvr12179820,skvr12179830,skvr12179840,skvr12179850,skvr12179860,skvr12179870,skvr12179880,skvr12179890,skvr12179900,skvr12179910,skvr12179920,skvr12179930,skvr12179940,skvr12179950,skvr12187140,skvr12187150,skvr13101020,skvr13101030,skvr13101040,skvr13101050,skvr13132750,skvr13132760,skvr13132770,skvr13132780,skvr13132790,skvr13132800,skvr14128140
t061500_1160	Ukkosen sanat	skvr01217520,skvr01220930,skvr01221080,skvr01221090,skvr01221100,skvr01221110,skvr07145080,skvr07300560,skvr10148700,skvr10148820,skvr10148970,skvr10151880,skvr10151890,skvr10151900,skvr10151910,skvr11123180,skvr11123210,skvr11123410,skvr11123450,skvr11126950,skvr12145520,skvr12175100,skvr12175110,skvr13101700,skvr13101710
t061500_1170	Ukkosen tulella voi polttaa talon	skvr01220110
t061500_1180	Unet	skvr07251880,skvr10149171
t061500_1190	Uudella vastalla kylpiessä	skvr09315870,skvr06176351,skvr14127120
t061500_1200	Uuden kuun tervehtiminen	skvr01220560,skvr01220571,skvr01220570,skvr02110962,skvr04145590,skvr09416210,skvr05313080,skvr06130940,skvr06130950,skvr06130960,skvr06130970,skvr07218520,skvr07218530,skvr07251970,skvr07251980,skvr10151920,skvr11124750,skvr12179690,skvr12179700,skvr12179710,skvr12179720,skvr12179730,skvr14127490
t061500_1210	Uusi talo	skvr01219650,skvr01219950,skvr01219960,skvr01219980,skvr01220000,skvr01220010,skvr02110960,skvr06162230,skvr06162240,skvr06162250,skvr06162260,skvr06162270,skvr06162280,skvr06162290,skvr07116320,skvr07250390,skvr07250400,skvr07250410,skvr07250420,skvr07250430,skvr07250440,skvr07250460,skvr11122811,skvr11122810,skvr11105390,skvr12177342,skvr12184480,skvr13100710,skvr13100720,skvr13103250,skvr13103260,skvr13103270,skvr13103280,skvr13110950,skvr13110960,skvr13110970,skvr13110980,skvr13132450
t061600_1010	Ukkosen synty	skvr10148700,skvr10148820,skvr10148970,skvr10151900,skvr10151910,skvr10153090,skvr11123180,skvr11123450,skvr12145520
t061800_0190	Ukonilmalla	skvr11126950,skvr12138080,skvr12138090,skvr12138100,skvr12138110,skvr12138120
t070100_3530	Uro kulta kuoltuansa ehkä konna eläessänsä	skvr15105860
